"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"28041 Cobeña"	7444	7486	7428	7280	7163	7009	6983	6921	6984	6823	6560	6164	5818	5406	4844	4293	4018	3764	3599	3253	3060
"28046 Collado Mediano"	7348	7105	6958	6781	6666	6583	6599	6780	6746	6697	6610	6527	6473	6427	6159	6159	5832	5638	5317	5095	4766
"28047 Collado Villalba"	63825	64378	63679	63074	62152	61597	62056	62587	62684	61955	60998	59900	55027	54658	52886	52083	52445	50695	50634	48885	44872
"28043 Colmenar de Oreja"	8303	8154	8032	7902	7810	7946	8071	8409	8424	8432	8378	8397	8357	8127	7656	7247	6898	6637	6257	5452	5548
"28042 Colmenar del Arroyo"	1875	1785	1725	1685	1632	1632	1611	1581	1581	1565	1518	1446	1376	1348	1268	1227	1167	1107	1029	961	913
"28045 Colmenar Viejo"	52480	51938	50752	49498	48614	48020	47601	47445	46955	46321	45468	44437	43700	42649	41264	40878	39579	38866	37239	35664	34194
"28044 Colmenarejo"	9376	9230	9130	9124	9015	8945	8934	8934	8919	8753	8589	8525	8232	7972	7596	7308	7048	6693	6235	5570	4968
"28048 Corpa"	742	723	713	697	684	672	669	671	658	643	634	593	559	540	503	502	500	507	461	452	418
"28049 Coslada"	81273	81391	81661	81860	83011	84533	86919	88847	91425	91832	91861	91218	90280	89918	86478	83233	82894	82418	82176	79862	78774
"28050 Cubas de la Sagra"	6642	6539	6413	6310	6112	5971	5875	5738	5525	5332	5004	4743	4499	4109	3677	3164	2851	2637	2421	2075	1793
"28053 Daganzo de Arriba"	10520	10337	10205	10061	10082	9981	9919	9841	9793	9560	9268	8989	8792	8493	7895	7340	6889	6311	5307	4725	4208
"28054 Escorial, El"	16594	16365	16162	15842	15562	15364	15342	15244	15197	15161	15092	15108	14979	14873	14492	14113	13768	12975	12669	11912	11209
"28055 Estremera"	1381	1334	1260	1236	1261	1319	1350	1410	1468	1486	1490	1508	1518	1516	1486	1297	1280	1156	1135	1074	1049
"28056 Fresnedillas de la Oliva"	1742	1651	1572	1554	1550	1547	1554	1545	1577	1592	1581	1507	1396	1392	1298	1194	1144	1097	1081	955	855
"28057 Fresno de Torote"	2416	2299	2221	2181	2115	2044	2041	2020	2043	2089	2041	2063	2074	2018	1778	1611	1483	1324	931	811	722
"28058 Fuenlabrada"	192233	194514	193700	193586	194669	194171	195180	195864	197520	198132	198560	198973	197836	194791	194142	193715	195131	192458	187963	179735	178221
"28059 Fuente el Saz de Jarama"	6883	6807	6696	6541	6424	6403	6440	6409	6324	6379	6377	6320	6282	6079	5860	5789	5605	5376	5260	4878	4369
"28060 Fuentidueña de Tajo"	2228	2136	2053	1985	1980	1936	1954	2026	2108	2077	2027	2095	2081	2001	1920	1799	1765	1602	1517	1476	1471
"28061 Galapagar"	34712	34497	33742	33379	32903	32404	32294	32380	32523	32930	32575	32393	31820	31261	30007	28924	29218	28255	26857	24927	23693
"28062 Garganta de los Montes"	411	377	347	348	331	351	367	382	393	396	390	386	397	405	392	395	400	356	348	334	317
"28063 Gargantilla del Lozoya y Pinilla de Buitrago"	344	309	316	318	315	325	351	362	368	369	379	393	378	384	371	367	346	321	303	279	245
"28064 Gascones"	191	176	193	188	176	171	176	179	176	184	183	163	152	145	148	147	151	158	138	122	114
"28065 Getafe"	183095	185180	183374	180747	178288	176659	174921	173057	172526	171280	170115	169130	167164	164043	159300	156320	157397	155997	156315	153868	150532
"28066 Griñón"	10467	10435	10319	10178	10060	9938	9918	9928	9873	9752	9730	9546	9387	9161	8797	8236	7664	7039	6594	6008	5040
"28067 Guadalix de la Sierra"	6594	6440	6214	6119	6049	5982	6039	6057	6071	6100	5992	5877	5759	5701	5347	5099	4963	4540	4109	3673	3394
"28068 Guadarrama"	16747	16560	16032	15785	15620	15488	15538	15547	15712	15534	15350	15155	14800	14318	13607	13025	13032	12457	11957	11280	10275
"28069 Hiruela, La"	72	65	57	48	52	54	54	55	51	56	55	66	74	76	74	76	79	90	99	88	77
"28070 Horcajo de la Sierra-Aoslos"	170	152	145	148	142	143	159	179	169	167	176	171	173	172	171	167	167	156	147	139	146
"28071 Horcajuelo de la Sierra"	106	89	86	89	88	86	88	80	86	95	102	95	91	102	103	107	112	117	115	109	108
"28072 Hoyo de Manzanares"	8680	8529	8434	8222	8032	7965	7880	7834	7872	7812	7720	7600	7580	7457	7298	7210	7166	6892	6725	6374	6013
"28073 Humanes de Madrid"	19736	19701	19743	19587	19607	19563	19413	19404	19248	18870	18774	18541	18098	17379	16497	15589	14406	12923	11738	10561	9937
"28074 Leganés"	187762	191114	189861	188425	187720	187173	186907	186696	186995	187125	186552	187227	186066	184209	182431	182471	181248	178630	176900	174436	173426
"28075 Loeches"	8860	8897	8791	8673	8525	8388	8212	8159	8078	7990	7635	7267	6781	6210	5767	5450	4793	4275	3729	3489	3176
"28076 Lozoya"	593	580	581	559	559	576	594	591	625	635	647	670	652	650	632	620	602	539	513	485	459
"28901 Lozoyuela-Navas-Sieteiglesias"	1407	1340	1299	1266	1237	1210	1203	1196	1216	1200	1157	1082	1093	1068	980	979	918	847	774	708	680
"28078 Madarcos"	57	49	48	47	46	47	45	47	55	53	56	49	49	47	45	41	38	31	33	30	23
"28079 Madrid"	3305408	3334730	3266126	3223334	3182981	3165541	3141991	3165235	3207247	3233527	3265038	3273049	3255944	3213271	3132463	3128600	3155359	3099834	3092759	3016788	2957058
"28080 Majadahonda"	72034	72155	71826	71785	71299	70755	70800	70359	70386	70198	70076	69439	68110	66585	63545	62270	61788	58377	56131	52864	49137
"28082 Manzanares el Real"	9202	8936	8840	8597	8500	8387	8309	8182	8053	7949	7731	7450	7244	6933	6612	6376	6140	5713	5182	4688	4292
"28083 Meco"	14903	14670	14305	13959	13570	13426	13269	13133	12925	12797	12554	12580	12419	12198	11719	11094	10774	9986	9217	8007	6923
"28084 Mejorada del Campo"	23737	23639	23274	23241	22948	22900	22902	22763	23048	22902	22677	22812	22488	22267	21369	21052	20245	19178	18438	17560	16565
"28085 Miraflores de la Sierra"	6585	6362	6108	5897	5817	5754	5807	5890	5907	5979	5963	5934	5947	5811	5487	5344	5055	4741	4365	4038	3854
"28086 Molar, El"	9291	9287	8938	8666	8491	8263	8036	7983	8365	8226	7973	7645	7392	6869	6087	5373	5133	4824	4607	4275	3898
"28087 Molinos, Los"	4563	4433	4389	4328	4345	4373	4349	4374	4485	4590	4562	4565	4537	4558	4417	4322	4215	4161	3821	3691	3497
"28088 Montejo de la Sierra"	365	364	353	363	356	359	374	363	359	354	357	364	354	356	330	330	322	319	319	318	318
"28089 Moraleja de Enmedio"	5294	5200	5136	5021	4870	4984	5046	5032	4937	4984	4885	4852	4712	4633	4509	4390	4231	3874	3629	3364	3195
"28090 Moralzarzal"	13573	13334	13026	12697	12496	12372	12213	12321	12168	12126	11985	11801	11582	11318	11005	10604	9973	9003	8163	7118	6134
"28091 Morata de Tajuña"	7924	7847	7683	7553	7482	7548	7453	7452	7553	7515	7463	7382	7262	7087	6782	6548	6231	6048	5916	5664	5485
"28092 Móstoles"	209639	210309	209184	207095	206589	205614	206263	205712	206451	206031	205015	206015	206478	206275	204535	206301	204463	202496	201789	198819	197062
"28093 Navacerrada"	3220	3091	2972	2911	2894	2885	2855	2862	2863	2793	2779	2765	2710	2675	2575	2484	2381	2309	2231	2016	1913
"28094 Navalafuente"	1573	1511	1449	1397	1340	1266	1201	1194	1223	1220	1245	1169	1140	1039	936	828	768	714	663	599	588
"28095 Navalagamella"	2720	2637	2610	2601	2443	2423	2462	2465	2436	2392	2367	2383	2306	2161	2000	2020	1816	1600	1514	1356	1200
"28096 Navalcarnero"	30695	29985	29298	28305	27570	26954	26672	26364	26085	25453	24613	23115	21584	20058	18620	17567	17183	16416	15768	14936	14256
"28097 Navarredonda y San Mamés"	141	129	129	122	131	132	136	129	128	141	146	140	142	151	141	144	138	137	126	112	106
"28099 Navas del Rey"	3062	2966	2918	2819	2751	2659	2628	2640	2684	2666	2682	2609	2529	2459	2369	2430	2315	2196	2050	1862	1746
"28100 Nuevo Baztán"	6630	6454	6276	6154	6091	6018	6098	5959	6299	6239	6295	6286	6168	6111	5828	5683	5439	5015	4441	4083	3677
"28101 Olmeda de las Fuentes"	357	346	348	346	332	326	338	334	340	338	357	308	297	283	258	212	205	193	185	150	146
"28102 Orusco de Tajuña"	1291	1295	1244	1202	1218	1225	1260	1283	1308	1300	1297	1198	1197	1111	1076	1017	738	703	686	653	644
"28104 Paracuellos de Jarama"	26235	25917	25269	24521	23905	23104	22293	21718	21128	19882	18482	16219	14329	11424	8572	7586	7568	7233	7088	6673	6334
"28106 Parla"	131689	133482	130124	128256	125898	124661	125056	125323	125634	124208	121995	120182	115611	108051	98628	95087	91024	86912	82766	80545	77157
"28107 Patones"	524	539	541	523	553	537	524	507	502	521	536	494	507	517	518	441	430	375	374	356	366
"28108 Pedrezuela"	6226	6150	5892	5746	5613	5456	5271	5119	5082	5020	4671	4482	4224	3822	3333	2881	2589	2299	2033	1776	1613
"28109 Pelayos de la Presa"	2827	2676	2596	2475	2468	2471	2455	2502	2537	2572	2512	2544	2537	2417	2269	2209	2075	2017	1842	1597	1422
"28110 Perales de Tajuña"	3059	2990	2935	2831	2817	2799	2871	2945	2990	2877	2870	2894	2858	2738	2642	2469	2472	2358	2245	2099	2089
"28111 Pezuela de las Torres"	927	867	842	821	816	793	783	795	798	796	842	813	826	825	744	652	516	492	503	476	491
"28112 Pinilla del Valle"	196	190	191	187	185	192	200	205	210	215	213	209	196	185	194	204	153	165	171	147	155
"28113 Pinto"	53537	53325	52526	51541	50442	49522	48660	47594	46870	46763	45643	44524	43501	42445	40876	39432	37559	35199	33445	31737	30114
"28114 Piñuécar-Gandullas"	185	179	185	171	183	185	175	172	176	168	173	176	202	193	184	184	182	186	183	179	140
"28115 Pozuelo de Alarcón"	87134	87165	86422	86172	85605	84989	84558	84360	84474	83844	82916	82804	82428	81365	79826	79581	78083	75079	72662	71246	68470
"28116 Pozuelo del Rey"	1190	1172	1147	1120	1099	1073	1071	1092	1052	1019	987	895	801	646	447	331	324	291	253	219	181
"28117 Prádena del Rincón"	149	125	117	117	132	134	122	132	126	127	129	127	122	114	110	107	105	110	105	104	103
"28118 Puebla de la Sierra"	75	73	65	60	61	66	73	83	96	99	102	111	110	107	109	103	104	104	104	110	96
"28902 Puentes Viejas"	719	699	679	642	632	627	644	620	648	667	645	649	623	562	500	456	447	427	417	425	407
"28119 Quijorna"	3593	3541	3439	3357	3282	3239	3196	3221	3190	3130	3010	2850	2810	2703	2378	2177	2067	1847	1565	1342	1194
"28120 Rascafría"	1754	1725	1664	1663	1672	1692	1739	1798	1893	1956	1985	2004	1998	2059	2053	1892	1557	1606	1643	1633	1637
"28121 Redueña"	294	270	260	247	248	261	259	281	284	291	282	278	279	266	263	229	219	221	218	193	188
"28122 Ribatejada"	863	801	783	706	702	689	707	689	696	664	655	656	625	602	540	504	446	419	400	401	390
"28123 Rivas-Vaciamadrid"	92925	90973	88150	85893	83767	82715	81473	80483	78133	75444	72896	70840	68405	64808	59426	53459	49696	45099	39630	35660	32228
"28124 Robledillo de la Jara"	97	95	80	87	87	99	100	103	102	106	103	94	136	130	145	122	120	103	107	103	93
"28125 Robledo de Chavela"	4479	4364	4270	4159	4073	4001	3955	4037	4137	4058	3991	3876	3812	3773	3599	3319	3199	3008	2768	2645	2439
"28126 Robregordo"	71	65	58	48	44	45	48	52	60	65	66	61	61	62	71	66	69	71	74	80	88
"28127 Rozas de Madrid, Las"	94862	96113	95814	95550	95071	94471	93520	92784	91806	90390	89151	88065	86340	83428	79876	75719	71937	68061	66809	62527	59002
"28128 Rozas de Puerto Real"	590	555	530	527	534	533	523	493	484	469	466	446	426	402	372	368	357	354	359	257	273
"28129 San Agustín del Guadalix"	13538	13466	13379	13273	13103	12862	12982	12953	12955	12770	12425	11885	11133	10433	9522	8832	8240	7806	7451	7074	6333
"28130 San Fernando de Henares"	39313	39566	39432	39466	39681	40095	40188	40781	41226	41376	41380	41384	40981	40654	39843	40048	39966	39175	38172	36658	35089
"28131 San Lorenzo de El Escorial"	18454	18532	18369	18088	18024	18038	18191	18241	18495	18545	18447	18352	17889	17346	16531	16005	15364	14971	14358	13164	12455
"28132 San Martín de la Vega"	19853	19633	19170	18784	18824	18734	18835	19092	19672	19615	19224	18863	18256	17584	16057	15677	15069	14011	13446	12382	11415
"28133 San Martín de Valdeiglesias"	8760	8679	8459	8318	8298	8344	8463	8516	8524	8365	8236	8190	8048	7888	7604	7403	7059	6781	6589	6348	6191
"28134 San Sebastián de los Reyes"	90962	91224	89276	87724	86707	86206	84944	83329	82090	81466	79825	78157	75912	72414	68740	67351	65767	62242	61583	60323	59646
"28135 Santa María de la Alameda"	1436	1321	1254	1182	1163	1177	1199	1212	1214	1245	1152	1164	1184	1178	1120	1039	958	929	856	798	702
"28136 Santorcaz"	925	899	886	850	856	851	849	833	845	816	827	822	825	817	789	746	715	677	616	611	583
"28137 Santos de la Humosa, Los"	2729	2694	2590	2542	2486	2435	2389	2445	2421	2367	2297	2165	2139	1997	1682	1444	1400	1273	1078	951	930
"28138 Serna del Monte, La"	96	87	81	74	73	77	86	94	93	104	102	99	103	111	112	108	111	113	122	115	115
"28140 Serranillos del Valle"	4429	4291	4165	4066	3967	3990	3994	3957	3816	3631	3515	3440	3417	3273	3169	3006	2787	2457	2206	1163	901
"28141 Sevilla la Nueva"	9345	9393	9318	9095	9093	8905	8902	8858	8925	8887	8808	8578	8234	7814	7387	6731	6357	5832	5197	4495	4054
"28143 Somosierra"	87	87	86	80	77	77	73	77	82	92	99	105	111	110	114	116	116	122	111	112	98
"28144 Soto del Real"	9091	8981	8799	8694	8607	8483	8456	8482	8519	8480	8505	8434	8294	8188	7969	7865	7615	7137	6685	6364	5850
"28145 Talamanca de Jarama"	4123	4012	3857	3725	3573	3451	3371	3267	3211	3178	3110	2927	2689	2472	2293	2097	2027	1877	1761	1655	1547
"28146 Tielmes"	2781	2736	2650	2604	2610	2620	2585	2617	2658	2616	2605	2581	2545	2553	2487	2468	2433	2311	2262	2100	2003
"28147 Titulcia"	1360	1341	1313	1304	1274	1258	1234	1261	1237	1206	1184	1179	1162	1045	960	914	948	935	919	929	934
"28148 Torrejón de Ardoz"	132771	132853	131376	129729	128013	126981	126934	126878	123761	125331	122589	118441	118162	116455	113176	112114	109483	106740	104790	101056	97546
"28149 Torrejón de la Calzada"	9549	9194	8872	8582	8418	8171	7901	7739	7743	7666	7298	6904	6701	6478	6153	5866	5505	5224	5142	4847	4462
"28150 Torrejón de Velasco"	4594	4386	4382	4298	4261	4243	4224	4195	4177	4161	4148	4091	4049	3924	3804	3532	3167	2928	2643	2333	2085
"28151 Torrelaguna"	4897	4854	4760	4724	4712	4697	4788	4828	4861	4860	4918	4928	4853	4671	4394	4060	3921	3711	3413	3157	2898
"28152 Torrelodones"	24122	23902	23717	23361	23128	23123	23117	22838	22782	22680	22354	22117	21781	21231	20452	19843	19399	18228	17694	15916	14717
"28153 Torremocha de Jarama"	1079	1075	1019	975	942	906	948	926	892	877	861	795	769	703	669	609	560	489	433	374	351
"28154 Torres de la Alameda"	7729	7833	7779	7760	7825	7769	7877	7939	7899	7906	7941	7896	7776	7474	6881	6359	5900	5560	5327	4871	4541
"28903 Tres Cantos"	48751	48326	47722	46750	46046	44764	43309	42546	41896	41302	41065	41147	41064	40606	40014	39826	39198	38882	38804	37688	36598
"28155 Valdaracete"	612	605	609	626	643	641	639	646	669	665	679	686	692	685	594	604	619	621	602	615	604
"28156 Valdeavero"	1670	1591	1554	1510	1450	1407	1451	1475	1494	1411	1360	1319	1255	1170	992	900	806	760	726	679	636
"28157 Valdelaguna"	1026	979	937	903	867	841	837	855	871	863	879	887	872	807	778	741	734	673	647	591	573
"28158 Valdemanco"	1012	963	914	927	916	911	922	972	958	949	972	952	975	976	898	823	783	736	632	499	517
"28159 Valdemaqueda"	789	775	781	761	768	779	786	804	882	859	861	856	858	838	843	827	785	728	680	630	595
"28160 Valdemorillo"	13245	12772	12518	12280	12300	12168	12173	12058	11988	11762	11545	11210	11045	10890	10316	9824	9301	8594	7860	7111	6482
"28161 Valdemoro"	77587	77270	75983	74745	73976	72988	72854	72265	71578	70315	68418	65922	62750	58623	53188	48517	44136	40839	37498	34163	30986
"28162 Valdeolmos-Alalpardo"	4309	4232	4136	4039	3906	3880	3785	3689	3633	3576	3360	3176	3035	2804	2543	2389	2240	2112	2010	1893	1804
"28163 Valdepiélagos"	612	614	584	574	587	574	566	563	574	571	541	503	449	425	418	412	392	377	335	308	306
"28164 Valdetorres de Jarama"	4696	4581	4497	4384	4316	4260	4234	4225	4176	4170	4008	4042	3847	3773	3591	3280	3135	2870	2592	2344	2131
