"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"36042 Ponteareas"	22942	22940	22877	22854	22893	22963	22990	23115	23326	23409	23561	23316	23172	22750	22411	21993	21378	21049	20432	19475	18844
"36044 Pontecesures"	3081	3053	3052	3037	3037	3040	3062	3092	3113	3123	3136	3143	3145	3116	3139	3120	3101	3028	3062	3026	2973
"36038 Pontevedra"	83114	83260	83029	82802	82671	82549	82539	82946	82934	82684	82400	81981	81576	80749	80202	80096	79372	78715	77993	76798	75864
"36039 Porriño, O"	20212	20100	19848	19740	19600	19567	18898	18508	18908	18543	18075	17977	17475	17114	16745	16617	16576	16527	16511	16241	16076
"36040 Portas"	2860	2906	2940	2984	3016	3056	3061	3025	3033	3073	3070	3078	3089	3089	3129	3174	3171	3176	3167	3219	3232
"36045 Redondela"	29192	29241	29218	29194	29392	29563	29697	29909	29918	30015	30006	30067	30001	30036	29987	30029	29863	29732	29415	29045	29090
"36046 Ribadumia"	5157	5105	5052	5069	5081	5105	5087	5103	5168	5166	5107	5028	4874	4781	4658	4529	4317	4238	4151	4182	4240
"36047 Rodeiro"	2361	2393	2437	2509	2567	2644	2700	2752	2844	2931	3034	3092	3143	3194	3261	3317	3385	3553	3734	4236	4309
"36048 Rosal, O"	6376	6289	6234	6249	6328	6349	6406	6455	6531	6574	6613	6595	6570	6462	6402	6326	6183	5992	5942	5933	5892
"36049 Salceda de Caselas"	9249	9173	9164	9146	9017	8914	8873	8890	8887	8835	8665	8448	8289	7938	7686	7402	7176	6835	6710	6543	6349
"36050 Salvaterra de Miño"	10048	9990	9819	9691	9657	9566	9619	9626	9816	9677	9546	9456	9293	9140	8761	8505	8375	8019	8117	8240	8320
"36051 Sanxenxo"	17635	17414	17347	17212	17241	17314	17391	17543	17582	17604	17586	17500	17315	17216	17077	16914	16598	16424	16312	16222	16203
"36052 Silleda"	8845	8861	8687	8698	8669	8734	8772	8966	9037	9074	9199	9248	9248	9166	9053	9058	9097	9055	9092	9099	9175
"36053 Soutomaior"	7482	7426	7395	7305	7242	7251	7317	7356	7302	7265	7223	7144	6867	6537	6305	6110	5956	5781	5603	5513	5398
"36054 Tomiño"	13730	13566	13499	13464	13585	13548	13662	13707	13740	13738	13604	13492	13315	12982	12651	12278	11932	11776	11487	11334	11111
"36055 Tui"	17398	17323	16701	16902	16860	16966	17013	16884	16827	17230	17236	17306	17262	16972	16948	16925	16680	16303	16326	16221	16089
"36056 Valga"	5768	5824	5869	5927	5986	6047	6062	6050	6059	6072	6103	6127	6120	6096	6071	6116	6108	6160	6174	6173	6275
"36057 Vigo"	293837	296692	295364	293642	292986	292817	294098	294997	296479	297355	297241	297124	297332	295703	294772	293255	293725	292059	292566	288324	287282
"36059 Vila de Cruces"	5097	5208	5246	5273	5389	5435	5556	5676	5934	6085	6325	6437	6475	6513	6550	6644	6720	6779	6953	7004	7108
"36058 Vilaboa"	5955	5919	5874	5954	6023	6043	6059	5972	5848	5965	6024	5991	5978	5935	6015	6030	5947	5853	5839	5756	5755
"36060 Vilagarcía de Arousa"	37545	37565	37456	37519	37479	37283	37482	37712	37741	37621	37903	37926	37576	37329	36743	36519	35954	35053	34469	33907	33823
"36061 Vilanova de Arousa"	10306	10239	10302	10352	10361	10406	10422	10459	10502	10590	10614	10682	10719	10643	10638	10592	10497	10421	10430	10378	10229
