"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"03046 Busot"	3207	3075	2978	2925	2904	2975	3075	3138	3429	3412	3314	3257	3148	3021	2847	2643	2421	2127	1998	1875	1793
"03049 Callosa de Segura"	19273	19127	19038	18864	18625	18497	18200	18079	17992	18034	17979	18008	17924	17425	17423	17366	16866	16471	16375	16005	15573
"03048 Callosa d'en Sarrià"	7589	7522	7373	7257	7223	7146	7133	7370	7371	7815	7894	7888	8056	8224	8008	7939	8179	7957	8060	7966	7378
"03047 Calp"	23530	23326	22725	21633	20804	19591	21540	22437	29442	29550	29718	29909	29666	29228	27768	26382	25190	23653	22446	20103	18037
"03050 Campello, el"	29013	28930	28349	27893	27604	27384	27356	27081	28184	27709	27345	26941	26511	26043	25055	24674	23640	22380	21761	20393	19238
"03051 Campo de Mirra/Camp de Mirra, el"	429	417	415	428	436	440	445	437	435	444	438	420	424	426	414	409	416	428	414	413	402
"03052 Cañada"	1191	1208	1220	1214	1242	1245	1229	1242	1249	1237	1235	1238	1231	1217	1203	1203	1198	1176	1179	1193	1152
"03053 Castalla"	10752	10461	10124	9880	9876	9859	9994	10143	10579	10573	10541	10513	10327	10021	9673	9331	8977	8532	8193	7940	7735
"03054 Castell de Castells"	425	437	449	435	436	449	431	442	483	478	516	493	508	505	517	487	482	475	465	432	449
"03075 Castell de Guadalest, el"	243	224	217	209	205	220	224	226	236	238	240	246	231	217	215	204	207	204	194	189	192
"03055 Catral"	8880	8898	8639	8631	8620	8551	8690	8663	8648	9083	9092	8926	8745	8629	8105	7530	6642	5884	5596	5380	5146
"03056 Cocentaina"	11451	11520	11511	11456	11461	11432	11406	11519	11558	11591	11601	11534	11467	11383	11209	11143	10992	10907	10673	10567	10496
"03057 Confrides"	271	261	187	208	221	207	208	232	243	283	315	276	299	279	303	256	286	301	325	287	306
"03058 Cox"	7427	7386	7297	7226	7192	7193	7229	7188	7135	7077	7029	6957	6826	6642	6414	6464	6477	6377	6355	6240	5946
"03059 Crevillent"	29717	29536	28952	28957	28836	28691	28465	28328	28382	28439	28362	28738	28609	28432	28172	27815	27323	26632	26260	25654	25101
"03061 Daya Nueva"	1757	1733	1737	1718	1684	1750	1732	1765	1956	1996	1988	1938	1942	1903	1761	1676	1562	1390	1272	1257	1175
"03062 Daya Vieja"	707	731	690	685	713	672	668	681	770	758	726	696	674	598	459	354	336	261	222	204	198
"03063 Dénia"	42953	42827	42166	41733	41568	41465	41553	41672	44450	44455	44726	44498	44464	44035	42704	41591	40601	38584	37773	34686	32332
"03064 Dolores"	7620	7531	7470	7383	7302	7264	7246	7237	7314	7362	7398	7392	7427	7313	6954	6786	7095	6863	6561	6397	6308
"03065 Elche/Elx"	234205	234765	232517	230625	228675	227659	227312	228647	230224	230587	230354	230822	230112	228348	222422	219032	215137	209439	207163	201731	198190
"03066 Elda"	52551	52813	52618	52404	52620	52745	53248	53540	54056	54536	54610	54815	55168	55174	55289	55138	55571	55576	54086	53103	51816
"03067 Fageca"	105	107	106	101	101	107	103	104	101	104	108	107	106	108	119	93	98	103	112	111	130
"03068 Famorca"	45	45	47	53	57	58	52	52	51	59	62	38	44	48	53	54	63	65	71	61	61
"03069 Finestrat"	7402	7103	6715	6381	6292	6090	6239	6265	7095	6932	6807	6386	6137	5844	4945	4172	3797	3377	2858	2550	2333
"03077 Fondó de les Neus, el/Hondón de las Nieves"	2634	2606	2544	2474	2436	2493	2583	2632	3041	3037	3010	2948	2862	2730	2501	2312	2162	1936	1770	1713	1679
"03070 Formentera del Segura"	4337	4268	4191	4131	4064	3995	4206	4211	4629	4559	4389	4364	4285	4118	3518	3173	2898	2588	2403	2255	2176
"03072 Gaianes"	505	479	452	471	448	452	457	449	446	445	442	443	378	380	376	347	340	344	329	317	316
"03071 Gata de Gorgos"	6223	6243	6049	5893	5804	5825	5885	5985	6270	6327	6283	6292	6291	6195	5969	5551	5375	5212	5120	5106	4971
"03073 Gorga"	261	241	249	258	273	267	275	274	264	261	254	256	232	235	248	250	256	261	252	259	276
"03074 Granja de Rocamora"	2609	2591	2580	2489	2469	2461	2425	2417	2437	2461	2463	2372	2362	2323	2271	2093	2099	2066	2039	2089	1902
"03076 Guardamar del Segura"	15983	15849	15348	15058	14716	15386	15589	15599	16957	17138	16863	16423	16329	15951	15132	14261	13122	12215	11587	10732	9944
"03078 Hondón de los Frailes"	1299	1242	1198	1132	1102	1165	1160	1095	1217	1238	1217	1202	1214	1205	1231	1109	1023	883	709	634	586
"03079 Ibi"	23652	23564	23489	23403	23423	23365	23321	23456	23634	23616	23683	23861	24113	24093	23609	23360	23059	22967	22744	22140	21616
"03080 Jacarilla"	2030	1998	2022	1986	1953	1939	1930	1947	2038	2076	2102	2100	2096	2088	1957	1813	1776	1686	1638	1607	1575
"03082 Jávea/Xàbia"	27983	28016	27604	27224	27060	27225	27681	29067	33149	32983	32469	31909	31593	31140	29923	29279	28242	26649	28493	26368	24645
"03083 Jijona/Xixona"	6861	6879	6865	6875	6895	7057	7205	7226	7366	7423	7429	7407	7516	7575	7553	7596	7494	7400	7369	7353	7304
"03085 Llíber"	883	830	935	1051	951	1110	1099	1080	1091	1071	1070	1056	1057	1062	1001	950	930	837	757	522	533
"03084 Lorcha/Orxa, l'"	584	582	578	596	606	627	650	676	710	729	754	715	749	748	751	743	721	735	735	750	761
"03086 Millena"	242	240	237	229	230	221	224	210	215	217	215	209	201	195	187	186	178	175	178	189	190
"03088 Monforte del Cid"	8500	8346	8165	7944	7592	7500	7603	7658	7807	7803	7771	7606	7366	7006	6497	6157	6053	5864	5705	5545	5389
"03089 Monóvar/Monòver"	12188	12212	12167	12175	12177	12272	12381	12460	12720	12844	12873	12928	13060	13056	12923	12841	12727	12624	12369	12077	11916
"03903 Montesinos, Los"	5123	5061	4968	4844	4862	4912	4921	4966	5043	5203	5199	5147	4949	4736	4284	3654	3319	3081	2964	2807	2674
"03091 Murla"	549	507	470	493	477	486	516	509	604	598	609	629	612	601	574	562	515	482	446	368	320
"03092 Muro de Alcoy"	9326	9315	9324	9328	9319	9307	9167	9114	9062	9010	9005	8961	8893	8725	8611	8446	8148	7830	7652	7532	7366
"03090 Mutxamel"	25679	25645	25352	25009	24778	24487	24256	24232	23707	23834	23522	23066	22510	21481	20364	19264	18452	17599	16971	16198	15275
"03093 Novelda"	25611	25741	25651	25725	25868	26054	26146	26292	26517	26692	26873	27104	27135	27008	26525	26335	26233	25653	25399	24885	24111
"03094 Nucia, la"	18108	18163	18603	18242	18548	19967	20039	20029	19524	19135	18593	18225	17874	16958	15519	14006	12573	10672	11522	10135	9365
"03095 Ondara"	7080	7076	6894	6815	6739	6647	6617	6632	6613	6657	6644	6570	6546	6457	6217	6004	5834	5749	5712	5751	5468
"03096 Onil"	7569	7600	7507	7475	7493	7494	7548	7565	7544	7697	7753	7723	7771	7709	7622	7466	7500	7317	7144	6974	6874
"03097 Orba"	2233	2232	2174	2111	2035	2085	2210	2216	2570	2604	2606	2629	2616	2566	2503	2361	2117	1968	1824	1727	1712
"03099 Orihuela"	78940	78505	77414	76778	76097	80359	82675	83417	91260	90087	88714	87113	86164	84626	80468	77979	75009	68778	67731	61018	56129
"03098 Orxeta"	787	784	736	738	760	778	850	875	916	921	898	875	870	830	758	719	718	675	285	418	422
"03100 Parcent"	983	967	929	908	965	985	997	1020	1104	1131	1123	1085	1081	1066	1061	1019	960	907	896	809	832
"03101 Pedreguer"	8006	7881	7699	7490	7435	7431	7337	7438	7757	7751	7659	7603	7602	7480	7097	6857	6733	6489	6483	6152	6085
"03102 Pego"	10240	10133	10128	10052	9923	10158	10331	10144	10957	11029	11116	11208	11133	11043	10878	10721	10781	10749	10659	10231	10113
"03103 Penàguila"	275	269	292	301	308	328	353	324	321	318	332	324	323	323	330	334	354	344	358	369	372
"03104 Petrer"	34009	34241	34276	34479	34533	34533	34586	34754	34757	34697	34726	34634	34523	34109	33486	33026	32388	31919	31255	30556	29567
"03902 Pilar de la Horadada"	22597	22347	21905	21418	21202	21348	21629	21588	23670	23403	22967	22555	22050	21424	20338	19578	18051	16050	14958	13246	12179
"03105 Pinós, el/Pinoso"	8142	8025	7966	7845	7718	7627	7695	7663	7874	7908	7904	7909	7689	7623	7442	7315	7072	6878	6645	6457	6273
"03106 Planes"	693	682	693	713	733	725	753	778	817	831	836	850	844	839	803	799	793	794	789	796	805
"03901 Poblets, els"	2721	2714	2705	2864	2926	3246	3303	3350	3402	3404	3394	3310	3288	3267	3078	2865	2404	2242	2274	2044	1857
"03107 Polop"	5069	5064	4965	4850	4725	4549	4369	4313	4688	4549	4474	4294	4245	4112	3869	3636	3353	2934	2489	2391	2243
