Provincias;Grupo quinquenal de edad;Nacionalidad;Sexo;Periodo;Total
02 Albacete;De 20 a 24 años;Apátridas;Ambos sexos;1 de julio de 2022;4
02 Albacete;De 25 a 29 años;Española;Ambos sexos;1 de julio de 2022;18439
02 Albacete;De 25 a 29 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;601
02 Albacete;De 25 a 29 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 25 a 29 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;127
02 Albacete;De 25 a 29 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 25 a 29 años;De Africa;Ambos sexos;1 de julio de 2022;1091
02 Albacete;De 25 a 29 años;De América del Norte;Ambos sexos;1 de julio de 2022;26
02 Albacete;De 25 a 29 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;149
02 Albacete;De 25 a 29 años;De Sudamérica;Ambos sexos;1 de julio de 2022;771
02 Albacete;De 25 a 29 años;De Asia;Ambos sexos;1 de julio de 2022;81
02 Albacete;De 25 a 29 años;De Oceanía;Ambos sexos;1 de julio de 2022;2
02 Albacete;De 25 a 29 años;Apátridas;Ambos sexos;1 de julio de 2022;3
02 Albacete;De 30 a 34 años;Española;Ambos sexos;1 de julio de 2022;19369
02 Albacete;De 30 a 34 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;879
02 Albacete;De 30 a 34 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 30 a 34 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;171
02 Albacete;De 30 a 34 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 30 a 34 años;De Africa;Ambos sexos;1 de julio de 2022;1168
02 Albacete;De 30 a 34 años;De América del Norte;Ambos sexos;1 de julio de 2022;37
02 Albacete;De 30 a 34 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;154
02 Albacete;De 30 a 34 años;De Sudamérica;Ambos sexos;1 de julio de 2022;758
02 Albacete;De 30 a 34 años;De Asia;Ambos sexos;1 de julio de 2022;77
02 Albacete;De 30 a 34 años;De Oceanía;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 30 a 34 años;Apátridas;Ambos sexos;1 de julio de 2022;9
02 Albacete;De 35 a 39 años;Española;Ambos sexos;1 de julio de 2022;20823
02 Albacete;De 35 a 39 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;1112
02 Albacete;De 35 a 39 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 35 a 39 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;163
02 Albacete;De 35 a 39 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 35 a 39 años;De Africa;Ambos sexos;1 de julio de 2022;968
02 Albacete;De 35 a 39 años;De América del Norte;Ambos sexos;1 de julio de 2022;32
02 Albacete;De 35 a 39 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;131
02 Albacete;De 35 a 39 años;De Sudamérica;Ambos sexos;1 de julio de 2022;787
02 Albacete;De 35 a 39 años;De Asia;Ambos sexos;1 de julio de 2022;109
02 Albacete;De 35 a 39 años;De Oceanía;Ambos sexos;1 de julio de 2022;2
02 Albacete;De 35 a 39 años;Apátridas;Ambos sexos;1 de julio de 2022;9
02 Albacete;De 40 a 44 años;Española;Ambos sexos;1 de julio de 2022;25646
02 Albacete;De 40 a 44 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;1148
02 Albacete;De 40 a 44 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 40 a 44 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;193
02 Albacete;De 40 a 44 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 40 a 44 años;De Africa;Ambos sexos;1 de julio de 2022;848
02 Albacete;De 40 a 44 años;De América del Norte;Ambos sexos;1 de julio de 2022;19
02 Albacete;De 40 a 44 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;107
02 Albacete;De 40 a 44 años;De Sudamérica;Ambos sexos;1 de julio de 2022;818
02 Albacete;De 40 a 44 años;De Asia;Ambos sexos;1 de julio de 2022;100
02 Albacete;De 40 a 44 años;De Oceanía;Ambos sexos;1 de julio de 2022;1
02 Albacete;De 40 a 44 años;Apátridas;Ambos sexos;1 de julio de 2022;6
02 Albacete;De 45 a 49 años;Española;Ambos sexos;1 de julio de 2022;28431
02 Albacete;De 45 a 49 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;1059
02 Albacete;De 45 a 49 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 45 a 49 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;189
02 Albacete;De 45 a 49 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 45 a 49 años;De Africa;Ambos sexos;1 de julio de 2022;643
02 Albacete;De 45 a 49 años;De América del Norte;Ambos sexos;1 de julio de 2022;21
02 Albacete;De 45 a 49 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;84
02 Albacete;De 45 a 49 años;De Sudamérica;Ambos sexos;1 de julio de 2022;607
02 Albacete;De 45 a 49 años;De Asia;Ambos sexos;1 de julio de 2022;68
02 Albacete;De 45 a 49 años;De Oceanía;Ambos sexos;1 de julio de 2022;2
02 Albacete;De 45 a 49 años;Apátridas;Ambos sexos;1 de julio de 2022;4
02 Albacete;De 50 a 54 años;Española;Ambos sexos;1 de julio de 2022;28909
02 Albacete;De 50 a 54 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;864
02 Albacete;De 50 a 54 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 50 a 54 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;214
02 Albacete;De 50 a 54 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 50 a 54 años;De Africa;Ambos sexos;1 de julio de 2022;350
02 Albacete;De 50 a 54 años;De América del Norte;Ambos sexos;1 de julio de 2022;9
02 Albacete;De 50 a 54 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;67
02 Albacete;De 50 a 54 años;De Sudamérica;Ambos sexos;1 de julio de 2022;375
02 Albacete;De 50 a 54 años;De Asia;Ambos sexos;1 de julio de 2022;60
02 Albacete;De 50 a 54 años;De Oceanía;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 50 a 54 años;Apátridas;Ambos sexos;1 de julio de 2022;2
02 Albacete;De 55 a 59 años;Española;Ambos sexos;1 de julio de 2022;29294
02 Albacete;De 55 a 59 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;477
02 Albacete;De 55 a 59 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 55 a 59 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;149
02 Albacete;De 55 a 59 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 55 a 59 años;De Africa;Ambos sexos;1 de julio de 2022;219
02 Albacete;De 55 a 59 años;De América del Norte;Ambos sexos;1 de julio de 2022;12
02 Albacete;De 55 a 59 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;49
02 Albacete;De 55 a 59 años;De Sudamérica;Ambos sexos;1 de julio de 2022;343
02 Albacete;De 55 a 59 años;De Asia;Ambos sexos;1 de julio de 2022;37
02 Albacete;De 55 a 59 años;De Oceanía;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 55 a 59 años;Apátridas;Ambos sexos;1 de julio de 2022;3
02 Albacete;De 60 a 64 años;Española;Ambos sexos;1 de julio de 2022;26062
02 Albacete;De 60 a 64 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;336
02 Albacete;De 60 a 64 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 60 a 64 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;163
02 Albacete;De 60 a 64 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 60 a 64 años;De Africa;Ambos sexos;1 de julio de 2022;126
02 Albacete;De 60 a 64 años;De América del Norte;Ambos sexos;1 de julio de 2022;10
02 Albacete;De 60 a 64 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;23
02 Albacete;De 60 a 64 años;De Sudamérica;Ambos sexos;1 de julio de 2022;194
02 Albacete;De 60 a 64 años;De Asia;Ambos sexos;1 de julio de 2022;19
02 Albacete;De 60 a 64 años;De Oceanía;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 60 a 64 años;Apátridas;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 65 a 69 años;Española;Ambos sexos;1 de julio de 2022;19354
02 Albacete;De 65 a 69 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;174
02 Albacete;De 65 a 69 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 65 a 69 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;94
02 Albacete;De 65 a 69 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 65 a 69 años;De Africa;Ambos sexos;1 de julio de 2022;66
02 Albacete;De 65 a 69 años;De América del Norte;Ambos sexos;1 de julio de 2022;3
02 Albacete;De 65 a 69 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;15
02 Albacete;De 65 a 69 años;De Sudamérica;Ambos sexos;1 de julio de 2022;123
02 Albacete;De 65 a 69 años;De Asia;Ambos sexos;1 de julio de 2022;15
02 Albacete;De 65 a 69 años;De Oceanía;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 65 a 69 años;Apátridas;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 70 a 74 años  ;Española;Ambos sexos;1 de julio de 2022;16801
02 Albacete;De 70 a 74 años  ;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;103
02 Albacete;De 70 a 74 años  ;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 70 a 74 años  ;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;73
02 Albacete;De 70 a 74 años  ;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 70 a 74 años  ;De Africa;Ambos sexos;1 de julio de 2022;45
02 Albacete;De 70 a 74 años  ;De América del Norte;Ambos sexos;1 de julio de 2022;5
02 Albacete;De 70 a 74 años  ;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;10
02 Albacete;De 70 a 74 años  ;De Sudamérica;Ambos sexos;1 de julio de 2022;83
02 Albacete;De 70 a 74 años  ;De Asia;Ambos sexos;1 de julio de 2022;6
02 Albacete;De 70 a 74 años  ;De Oceanía;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 70 a 74 años  ;Apátridas;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 75 a 79 años  ;Española;Ambos sexos;1 de julio de 2022;14170
02 Albacete;De 75 a 79 años  ;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;43
02 Albacete;De 75 a 79 años  ;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 75 a 79 años  ;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;43
02 Albacete;De 75 a 79 años  ;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 75 a 79 años  ;De Africa;Ambos sexos;1 de julio de 2022;21
02 Albacete;De 75 a 79 años  ;De América del Norte;Ambos sexos;1 de julio de 2022;1
02 Albacete;De 75 a 79 años  ;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;14
02 Albacete;De 75 a 79 años  ;De Sudamérica;Ambos sexos;1 de julio de 2022;63
02 Albacete;De 75 a 79 años  ;De Asia;Ambos sexos;1 de julio de 2022;7
02 Albacete;De 75 a 79 años  ;De Oceanía;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 75 a 79 años  ;Apátridas;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 80 a 84 años  ;Española;Ambos sexos;1 de julio de 2022;11060
02 Albacete;De 80 a 84 años  ;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;33
02 Albacete;De 80 a 84 años  ;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 80 a 84 años  ;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;26
02 Albacete;De 80 a 84 años  ;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 80 a 84 años  ;De Africa;Ambos sexos;1 de julio de 2022;15
02 Albacete;De 80 a 84 años  ;De América del Norte;Ambos sexos;1 de julio de 2022;3
02 Albacete;De 80 a 84 años  ;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;14
02 Albacete;De 80 a 84 años  ;De Sudamérica;Ambos sexos;1 de julio de 2022;34
02 Albacete;De 80 a 84 años  ;De Asia;Ambos sexos;1 de julio de 2022;3
02 Albacete;De 80 a 84 años  ;De Oceanía;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 80 a 84 años  ;Apátridas;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 85 a 89 años  ;Española;Ambos sexos;1 de julio de 2022;8656
02 Albacete;De 85 a 89 años  ;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;16
02 Albacete;De 85 a 89 años  ;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 85 a 89 años  ;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;9
02 Albacete;De 85 a 89 años  ;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 85 a 89 años  ;De Africa;Ambos sexos;1 de julio de 2022;7
02 Albacete;De 85 a 89 años  ;De América del Norte;Ambos sexos;1 de julio de 2022;1
02 Albacete;De 85 a 89 años  ;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;2
02 Albacete;De 85 a 89 años  ;De Sudamérica;Ambos sexos;1 de julio de 2022;20
02 Albacete;De 85 a 89 años  ;De Asia;Ambos sexos;1 de julio de 2022;5
02 Albacete;De 85 a 89 años  ;De Oceanía;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 85 a 89 años  ;Apátridas;Ambos sexos;1 de julio de 2022;0
02 Albacete;90 y más años;Española;Ambos sexos;1 de julio de 2022;5224
02 Albacete;90 y más años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;9
02 Albacete;90 y más años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;90 y más años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;5
02 Albacete;90 y más años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;90 y más años;De Africa;Ambos sexos;1 de julio de 2022;2
02 Albacete;90 y más años;De América del Norte;Ambos sexos;1 de julio de 2022;1
02 Albacete;90 y más años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;3
02 Albacete;90 y más años;De Sudamérica;Ambos sexos;1 de julio de 2022;12
02 Albacete;90 y más años;De Asia;Ambos sexos;1 de julio de 2022;1
02 Albacete;90 y más años;De Oceanía;Ambos sexos;1 de julio de 2022;0
02 Albacete;90 y más años;Apátridas;Ambos sexos;1 de julio de 2022;0
03 Alicante/Alacant;De 0 a 4 años;Española;Ambos sexos;1 de julio de 2022;57086
03 Alicante/Alacant;De 0 a 4 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;3586
03 Alicante/Alacant;De 0 a 4 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
03 Alicante/Alacant;De 0 a 4 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;3050
03 Alicante/Alacant;De 0 a 4 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
03 Alicante/Alacant;De 0 a 4 años;De Africa;Ambos sexos;1 de julio de 2022;5464
03 Alicante/Alacant;De 0 a 4 años;De América del Norte;Ambos sexos;1 de julio de 2022;102
03 Alicante/Alacant;De 0 a 4 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;231
03 Alicante/Alacant;De 0 a 4 años;De Sudamérica;Ambos sexos;1 de julio de 2022;2593
03 Alicante/Alacant;De 0 a 4 años;De Asia;Ambos sexos;1 de julio de 2022;1296
03 Alicante/Alacant;De 0 a 4 años;De Oceanía;Ambos sexos;1 de julio de 2022;10
03 Alicante/Alacant;De 0 a 4 años;Apátridas;Ambos sexos;1 de julio de 2022;3
03 Alicante/Alacant;De 5 a 9 años;Española;Ambos sexos;1 de julio de 2022;71791
03 Alicante/Alacant;De 5 a 9 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;4876
03 Alicante/Alacant;De 5 a 9 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
03 Alicante/Alacant;De 5 a 9 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;4772
03 Alicante/Alacant;De 5 a 9 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
03 Alicante/Alacant;De 5 a 9 años;De Africa;Ambos sexos;1 de julio de 2022;4995
03 Alicante/Alacant;De 5 a 9 años;De América del Norte;Ambos sexos;1 de julio de 2022;155
03 Alicante/Alacant;De 5 a 9 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;271
03 Alicante/Alacant;De 5 a 9 años;De Sudamérica;Ambos sexos;1 de julio de 2022;3196
03 Alicante/Alacant;De 5 a 9 años;De Asia;Ambos sexos;1 de julio de 2022;1311
03 Alicante/Alacant;De 5 a 9 años;De Oceanía;Ambos sexos;1 de julio de 2022;12
03 Alicante/Alacant;De 5 a 9 años;Apátridas;Ambos sexos;1 de julio de 2022;1
03 Alicante/Alacant;De 10 a 14 años  ;Española;Ambos sexos;1 de julio de 2022;82634
03 Alicante/Alacant;De 10 a 14 años  ;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;4275
03 Alicante/Alacant;De 10 a 14 años  ;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
03 Alicante/Alacant;De 10 a 14 años  ;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;4697
03 Alicante/Alacant;De 10 a 14 años  ;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
03 Alicante/Alacant;De 10 a 14 años  ;De Africa;Ambos sexos;1 de julio de 2022;5709
03 Alicante/Alacant;De 10 a 14 años  ;De América del Norte;Ambos sexos;1 de julio de 2022;132
03 Alicante/Alacant;De 10 a 14 años  ;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;260
03 Alicante/Alacant;De 10 a 14 años  ;De Sudamérica;Ambos sexos;1 de julio de 2022;2920
03 Alicante/Alacant;De 10 a 14 años  ;De Asia;Ambos sexos;1 de julio de 2022;1345
03 Alicante/Alacant;De 10 a 14 años  ;De Oceanía;Ambos sexos;1 de julio de 2022;10
03 Alicante/Alacant;De 10 a 14 años  ;Apátridas;Ambos sexos;1 de julio de 2022;4
03 Alicante/Alacant;De 15 a 19 años  ;Española;Ambos sexos;1 de julio de 2022;84428
03 Alicante/Alacant;De 15 a 19 años  ;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;3963
03 Alicante/Alacant;De 15 a 19 años  ;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
03 Alicante/Alacant;De 15 a 19 años  ;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;3649
03 Alicante/Alacant;De 15 a 19 años  ;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
03 Alicante/Alacant;De 15 a 19 años  ;De Africa;Ambos sexos;1 de julio de 2022;5066
03 Alicante/Alacant;De 15 a 19 años  ;De América del Norte;Ambos sexos;1 de julio de 2022;131
03 Alicante/Alacant;De 15 a 19 años  ;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;285
