Provincias;Grupo quinquenal de edad;Nacionalidad;Sexo;Periodo;Total
07 Balears, Illes;De 20 a 24 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;1163
07 Balears, Illes;De 20 a 24 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 20 a 24 años;De Africa;Ambos sexos;1 de julio de 2022;2500
07 Balears, Illes;De 20 a 24 años;De América del Norte;Ambos sexos;1 de julio de 2022;183
07 Balears, Illes;De 20 a 24 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;652
07 Balears, Illes;De 20 a 24 años;De Sudamérica;Ambos sexos;1 de julio de 2022;4034
07 Balears, Illes;De 20 a 24 años;De Asia;Ambos sexos;1 de julio de 2022;944
07 Balears, Illes;De 20 a 24 años;De Oceanía;Ambos sexos;1 de julio de 2022;6
07 Balears, Illes;De 20 a 24 años;Apátridas;Ambos sexos;1 de julio de 2022;5
07 Balears, Illes;De 25 a 29 años;Española;Ambos sexos;1 de julio de 2022;51429
07 Balears, Illes;De 25 a 29 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;7365
07 Balears, Illes;De 25 a 29 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 25 a 29 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;1735
07 Balears, Illes;De 25 a 29 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 25 a 29 años;De Africa;Ambos sexos;1 de julio de 2022;3260
07 Balears, Illes;De 25 a 29 años;De América del Norte;Ambos sexos;1 de julio de 2022;341
07 Balears, Illes;De 25 a 29 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;956
07 Balears, Illes;De 25 a 29 años;De Sudamérica;Ambos sexos;1 de julio de 2022;6651
07 Balears, Illes;De 25 a 29 años;De Asia;Ambos sexos;1 de julio de 2022;1323
07 Balears, Illes;De 25 a 29 años;De Oceanía;Ambos sexos;1 de julio de 2022;17
07 Balears, Illes;De 25 a 29 años;Apátridas;Ambos sexos;1 de julio de 2022;33
07 Balears, Illes;De 30 a 34 años;Española;Ambos sexos;1 de julio de 2022;58000
07 Balears, Illes;De 30 a 34 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;11260
07 Balears, Illes;De 30 a 34 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 30 a 34 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;2175
07 Balears, Illes;De 30 a 34 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 30 a 34 años;De Africa;Ambos sexos;1 de julio de 2022;3728
07 Balears, Illes;De 30 a 34 años;De América del Norte;Ambos sexos;1 de julio de 2022;350
07 Balears, Illes;De 30 a 34 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;995
07 Balears, Illes;De 30 a 34 años;De Sudamérica;Ambos sexos;1 de julio de 2022;6869
07 Balears, Illes;De 30 a 34 años;De Asia;Ambos sexos;1 de julio de 2022;1664
07 Balears, Illes;De 30 a 34 años;De Oceanía;Ambos sexos;1 de julio de 2022;38
07 Balears, Illes;De 30 a 34 años;Apátridas;Ambos sexos;1 de julio de 2022;43
07 Balears, Illes;De 35 a 39 años;Española;Ambos sexos;1 de julio de 2022;63917
07 Balears, Illes;De 35 a 39 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;13535
07 Balears, Illes;De 35 a 39 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 35 a 39 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;2624
07 Balears, Illes;De 35 a 39 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 35 a 39 años;De Africa;Ambos sexos;1 de julio de 2022;4344
07 Balears, Illes;De 35 a 39 años;De América del Norte;Ambos sexos;1 de julio de 2022;337
07 Balears, Illes;De 35 a 39 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;879
07 Balears, Illes;De 35 a 39 años;De Sudamérica;Ambos sexos;1 de julio de 2022;6297
07 Balears, Illes;De 35 a 39 años;De Asia;Ambos sexos;1 de julio de 2022;1894
07 Balears, Illes;De 35 a 39 años;De Oceanía;Ambos sexos;1 de julio de 2022;63
07 Balears, Illes;De 35 a 39 años;Apátridas;Ambos sexos;1 de julio de 2022;24
07 Balears, Illes;De 40 a 44 años;Española;Ambos sexos;1 de julio de 2022;76267
07 Balears, Illes;De 40 a 44 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;14427
07 Balears, Illes;De 40 a 44 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 40 a 44 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;2994
07 Balears, Illes;De 40 a 44 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 40 a 44 años;De Africa;Ambos sexos;1 de julio de 2022;4367
07 Balears, Illes;De 40 a 44 años;De América del Norte;Ambos sexos;1 de julio de 2022;299
07 Balears, Illes;De 40 a 44 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;705
07 Balears, Illes;De 40 a 44 años;De Sudamérica;Ambos sexos;1 de julio de 2022;6565
07 Balears, Illes;De 40 a 44 años;De Asia;Ambos sexos;1 de julio de 2022;1702
07 Balears, Illes;De 40 a 44 años;De Oceanía;Ambos sexos;1 de julio de 2022;67
07 Balears, Illes;De 40 a 44 años;Apátridas;Ambos sexos;1 de julio de 2022;16
07 Balears, Illes;De 45 a 49 años;Española;Ambos sexos;1 de julio de 2022;82067
07 Balears, Illes;De 45 a 49 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;12922
07 Balears, Illes;De 45 a 49 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 45 a 49 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;2831
07 Balears, Illes;De 45 a 49 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 45 a 49 años;De Africa;Ambos sexos;1 de julio de 2022;3196
07 Balears, Illes;De 45 a 49 años;De América del Norte;Ambos sexos;1 de julio de 2022;291
07 Balears, Illes;De 45 a 49 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;642
07 Balears, Illes;De 45 a 49 años;De Sudamérica;Ambos sexos;1 de julio de 2022;5429
07 Balears, Illes;De 45 a 49 años;De Asia;Ambos sexos;1 de julio de 2022;1427
07 Balears, Illes;De 45 a 49 años;De Oceanía;Ambos sexos;1 de julio de 2022;90
07 Balears, Illes;De 45 a 49 años;Apátridas;Ambos sexos;1 de julio de 2022;7
07 Balears, Illes;De 50 a 54 años;Española;Ambos sexos;1 de julio de 2022;75920
07 Balears, Illes;De 50 a 54 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;11117
07 Balears, Illes;De 50 a 54 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 50 a 54 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;3052
07 Balears, Illes;De 50 a 54 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 50 a 54 años;De Africa;Ambos sexos;1 de julio de 2022;2146
07 Balears, Illes;De 50 a 54 años;De América del Norte;Ambos sexos;1 de julio de 2022;221
07 Balears, Illes;De 50 a 54 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;493
07 Balears, Illes;De 50 a 54 años;De Sudamérica;Ambos sexos;1 de julio de 2022;4066
07 Balears, Illes;De 50 a 54 años;De Asia;Ambos sexos;1 de julio de 2022;1062
07 Balears, Illes;De 50 a 54 años;De Oceanía;Ambos sexos;1 de julio de 2022;64
07 Balears, Illes;De 50 a 54 años;Apátridas;Ambos sexos;1 de julio de 2022;0
07 Balears, Illes;De 55 a 59 años;Española;Ambos sexos;1 de julio de 2022;69274
07 Balears, Illes;De 55 a 59 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;9313
07 Balears, Illes;De 55 a 59 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 55 a 59 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;2945
07 Balears, Illes;De 55 a 59 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 55 a 59 años;De Africa;Ambos sexos;1 de julio de 2022;1366
07 Balears, Illes;De 55 a 59 años;De América del Norte;Ambos sexos;1 de julio de 2022;199
07 Balears, Illes;De 55 a 59 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;373
07 Balears, Illes;De 55 a 59 años;De Sudamérica;Ambos sexos;1 de julio de 2022;2792
07 Balears, Illes;De 55 a 59 años;De Asia;Ambos sexos;1 de julio de 2022;760
07 Balears, Illes;De 55 a 59 años;De Oceanía;Ambos sexos;1 de julio de 2022;39
07 Balears, Illes;De 55 a 59 años;Apátridas;Ambos sexos;1 de julio de 2022;1
07 Balears, Illes;De 60 a 64 años;Española;Ambos sexos;1 de julio de 2022;59843
07 Balears, Illes;De 60 a 64 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;7052
07 Balears, Illes;De 60 a 64 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 60 a 64 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;2548
07 Balears, Illes;De 60 a 64 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 60 a 64 años;De Africa;Ambos sexos;1 de julio de 2022;830
07 Balears, Illes;De 60 a 64 años;De América del Norte;Ambos sexos;1 de julio de 2022;152
07 Balears, Illes;De 60 a 64 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;239
07 Balears, Illes;De 60 a 64 años;De Sudamérica;Ambos sexos;1 de julio de 2022;1802
07 Balears, Illes;De 60 a 64 años;De Asia;Ambos sexos;1 de julio de 2022;432
07 Balears, Illes;De 60 a 64 años;De Oceanía;Ambos sexos;1 de julio de 2022;22
07 Balears, Illes;De 60 a 64 años;Apátridas;Ambos sexos;1 de julio de 2022;1
07 Balears, Illes;De 65 a 69 años;Española;Ambos sexos;1 de julio de 2022;49452
07 Balears, Illes;De 65 a 69 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;5413
07 Balears, Illes;De 65 a 69 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 65 a 69 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;2197
07 Balears, Illes;De 65 a 69 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 65 a 69 años;De Africa;Ambos sexos;1 de julio de 2022;554
07 Balears, Illes;De 65 a 69 años;De América del Norte;Ambos sexos;1 de julio de 2022;116
07 Balears, Illes;De 65 a 69 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;156
07 Balears, Illes;De 65 a 69 años;De Sudamérica;Ambos sexos;1 de julio de 2022;1295
07 Balears, Illes;De 65 a 69 años;De Asia;Ambos sexos;1 de julio de 2022;307
07 Balears, Illes;De 65 a 69 años;De Oceanía;Ambos sexos;1 de julio de 2022;13
07 Balears, Illes;De 65 a 69 años;Apátridas;Ambos sexos;1 de julio de 2022;1
07 Balears, Illes;De 70 a 74 años  ;Española;Ambos sexos;1 de julio de 2022;42766
07 Balears, Illes;De 70 a 74 años  ;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;4508
07 Balears, Illes;De 70 a 74 años  ;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 70 a 74 años  ;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;1910
07 Balears, Illes;De 70 a 74 años  ;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 70 a 74 años  ;De Africa;Ambos sexos;1 de julio de 2022;305
07 Balears, Illes;De 70 a 74 años  ;De América del Norte;Ambos sexos;1 de julio de 2022;101
07 Balears, Illes;De 70 a 74 años  ;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;124
07 Balears, Illes;De 70 a 74 años  ;De Sudamérica;Ambos sexos;1 de julio de 2022;917
07 Balears, Illes;De 70 a 74 años  ;De Asia;Ambos sexos;1 de julio de 2022;165
07 Balears, Illes;De 70 a 74 años  ;De Oceanía;Ambos sexos;1 de julio de 2022;14
07 Balears, Illes;De 70 a 74 años  ;Apátridas;Ambos sexos;1 de julio de 2022;0
07 Balears, Illes;De 75 a 79 años  ;Española;Ambos sexos;1 de julio de 2022;34628
07 Balears, Illes;De 75 a 79 años  ;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;3294
07 Balears, Illes;De 75 a 79 años  ;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 75 a 79 años  ;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;1566
07 Balears, Illes;De 75 a 79 años  ;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 75 a 79 años  ;De Africa;Ambos sexos;1 de julio de 2022;147
07 Balears, Illes;De 75 a 79 años  ;De América del Norte;Ambos sexos;1 de julio de 2022;87
07 Balears, Illes;De 75 a 79 años  ;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;86
07 Balears, Illes;De 75 a 79 años  ;De Sudamérica;Ambos sexos;1 de julio de 2022;565
07 Balears, Illes;De 75 a 79 años  ;De Asia;Ambos sexos;1 de julio de 2022;122
07 Balears, Illes;De 75 a 79 años  ;De Oceanía;Ambos sexos;1 de julio de 2022;8
07 Balears, Illes;De 75 a 79 años  ;Apátridas;Ambos sexos;1 de julio de 2022;0
07 Balears, Illes;De 80 a 84 años  ;Española;Ambos sexos;1 de julio de 2022;21913
07 Balears, Illes;De 80 a 84 años  ;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;2262
07 Balears, Illes;De 80 a 84 años  ;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 80 a 84 años  ;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;906
07 Balears, Illes;De 80 a 84 años  ;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 80 a 84 años  ;De Africa;Ambos sexos;1 de julio de 2022;103
07 Balears, Illes;De 80 a 84 años  ;De América del Norte;Ambos sexos;1 de julio de 2022;36
07 Balears, Illes;De 80 a 84 años  ;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;58
07 Balears, Illes;De 80 a 84 años  ;De Sudamérica;Ambos sexos;1 de julio de 2022;352
07 Balears, Illes;De 80 a 84 años  ;De Asia;Ambos sexos;1 de julio de 2022;55
07 Balears, Illes;De 80 a 84 años  ;De Oceanía;Ambos sexos;1 de julio de 2022;4
07 Balears, Illes;De 80 a 84 años  ;Apátridas;Ambos sexos;1 de julio de 2022;0
07 Balears, Illes;De 85 a 89 años  ;Española;Ambos sexos;1 de julio de 2022;16273
07 Balears, Illes;De 85 a 89 años  ;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;1122
07 Balears, Illes;De 85 a 89 años  ;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 85 a 89 años  ;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;442
07 Balears, Illes;De 85 a 89 años  ;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;De 85 a 89 años  ;De Africa;Ambos sexos;1 de julio de 2022;53
07 Balears, Illes;De 85 a 89 años  ;De América del Norte;Ambos sexos;1 de julio de 2022;17
07 Balears, Illes;De 85 a 89 años  ;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;34
07 Balears, Illes;De 85 a 89 años  ;De Sudamérica;Ambos sexos;1 de julio de 2022;206
07 Balears, Illes;De 85 a 89 años  ;De Asia;Ambos sexos;1 de julio de 2022;38
07 Balears, Illes;De 85 a 89 años  ;De Oceanía;Ambos sexos;1 de julio de 2022;3
07 Balears, Illes;De 85 a 89 años  ;Apátridas;Ambos sexos;1 de julio de 2022;0
07 Balears, Illes;90 y más años;Española;Ambos sexos;1 de julio de 2022;9369
07 Balears, Illes;90 y más años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;751
07 Balears, Illes;90 y más años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;90 y más años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;314
07 Balears, Illes;90 y más años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
07 Balears, Illes;90 y más años;De Africa;Ambos sexos;1 de julio de 2022;20
07 Balears, Illes;90 y más años;De América del Norte;Ambos sexos;1 de julio de 2022;23
07 Balears, Illes;90 y más años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;23
07 Balears, Illes;90 y más años;De Sudamérica;Ambos sexos;1 de julio de 2022;135
07 Balears, Illes;90 y más años;De Asia;Ambos sexos;1 de julio de 2022;25
07 Balears, Illes;90 y más años;De Oceanía;Ambos sexos;1 de julio de 2022;1
07 Balears, Illes;90 y más años;Apátridas;Ambos sexos;1 de julio de 2022;0
08 Barcelona;De 0 a 4 años;Española;Ambos sexos;1 de julio de 2022;178558
08 Barcelona;De 0 a 4 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;8168
08 Barcelona;De 0 a 4 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 0 a 4 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;3591
08 Barcelona;De 0 a 4 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 0 a 4 años;De Africa;Ambos sexos;1 de julio de 2022;13794
08 Barcelona;De 0 a 4 años;De América del Norte;Ambos sexos;1 de julio de 2022;681
08 Barcelona;De 0 a 4 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;3333
08 Barcelona;De 0 a 4 años;De Sudamérica;Ambos sexos;1 de julio de 2022;8508
08 Barcelona;De 0 a 4 años;De Asia;Ambos sexos;1 de julio de 2022;9848
08 Barcelona;De 0 a 4 años;De Oceanía;Ambos sexos;1 de julio de 2022;28
08 Barcelona;De 0 a 4 años;Apátridas;Ambos sexos;1 de julio de 2022;3
08 Barcelona;De 5 a 9 años;Española;Ambos sexos;1 de julio de 2022;234514
08 Barcelona;De 5 a 9 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;8014
08 Barcelona;De 5 a 9 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 5 a 9 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;3840
08 Barcelona;De 5 a 9 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 5 a 9 años;De Africa;Ambos sexos;1 de julio de 2022;8854
08 Barcelona;De 5 a 9 años;De América del Norte;Ambos sexos;1 de julio de 2022;810
08 Barcelona;De 5 a 9 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;3166
08 Barcelona;De 5 a 9 años;De Sudamérica;Ambos sexos;1 de julio de 2022;9429
08 Barcelona;De 5 a 9 años;De Asia;Ambos sexos;1 de julio de 2022;7249
08 Barcelona;De 5 a 9 años;De Oceanía;Ambos sexos;1 de julio de 2022;23
08 Barcelona;De 5 a 9 años;Apátridas;Ambos sexos;1 de julio de 2022;5
08 Barcelona;De 10 a 14 años  ;Española;Ambos sexos;1 de julio de 2022;278703
08 Barcelona;De 10 a 14 años  ;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;4569
08 Barcelona;De 10 a 14 años  ;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 10 a 14 años  ;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;3412
08 Barcelona;De 10 a 14 años  ;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 10 a 14 años  ;De Africa;Ambos sexos;1 de julio de 2022;8329
08 Barcelona;De 10 a 14 años  ;De América del Norte;Ambos sexos;1 de julio de 2022;515
08 Barcelona;De 10 a 14 años  ;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;3205
08 Barcelona;De 10 a 14 años  ;De Sudamérica;Ambos sexos;1 de julio de 2022;7388
08 Barcelona;De 10 a 14 años  ;De Asia;Ambos sexos;1 de julio de 2022;6056
08 Barcelona;De 10 a 14 años  ;De Oceanía;Ambos sexos;1 de julio de 2022;25
08 Barcelona;De 10 a 14 años  ;Apátridas;Ambos sexos;1 de julio de 2022;4
08 Barcelona;De 15 a 19 años  ;Española;Ambos sexos;1 de julio de 2022;274610
08 Barcelona;De 15 a 19 años  ;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;4625
08 Barcelona;De 15 a 19 años  ;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 15 a 19 años  ;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;3059
08 Barcelona;De 15 a 19 años  ;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 15 a 19 años  ;De Africa;Ambos sexos;1 de julio de 2022;12126
08 Barcelona;De 15 a 19 años  ;De América del Norte;Ambos sexos;1 de julio de 2022;606
08 Barcelona;De 15 a 19 años  ;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;3862
08 Barcelona;De 15 a 19 años  ;De Sudamérica;Ambos sexos;1 de julio de 2022;7812
08 Barcelona;De 15 a 19 años  ;De Asia;Ambos sexos;1 de julio de 2022;7199
08 Barcelona;De 15 a 19 años  ;De Oceanía;Ambos sexos;1 de julio de 2022;30
08 Barcelona;De 15 a 19 años  ;Apátridas;Ambos sexos;1 de julio de 2022;3
08 Barcelona;De 20 a 24 años;Española;Ambos sexos;1 de julio de 2022;244887
08 Barcelona;De 20 a 24 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;8175
08 Barcelona;De 20 a 24 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 20 a 24 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;3808
08 Barcelona;De 20 a 24 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 20 a 24 años;De Africa;Ambos sexos;1 de julio de 2022;14122
08 Barcelona;De 20 a 24 años;De América del Norte;Ambos sexos;1 de julio de 2022;1133
08 Barcelona;De 20 a 24 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;7060
08 Barcelona;De 20 a 24 años;De Sudamérica;Ambos sexos;1 de julio de 2022;14617
08 Barcelona;De 20 a 24 años;De Asia;Ambos sexos;1 de julio de 2022;11214
08 Barcelona;De 20 a 24 años;De Oceanía;Ambos sexos;1 de julio de 2022;29
08 Barcelona;De 20 a 24 años;Apátridas;Ambos sexos;1 de julio de 2022;5
08 Barcelona;De 25 a 29 años;Española;Ambos sexos;1 de julio de 2022;227303
08 Barcelona;De 25 a 29 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;19662
08 Barcelona;De 25 a 29 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 25 a 29 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;6231
08 Barcelona;De 25 a 29 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 25 a 29 años;De Africa;Ambos sexos;1 de julio de 2022;14254
08 Barcelona;De 25 a 29 años;De América del Norte;Ambos sexos;1 de julio de 2022;2332
08 Barcelona;De 25 a 29 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;10880
08 Barcelona;De 25 a 29 años;De Sudamérica;Ambos sexos;1 de julio de 2022;26598
08 Barcelona;De 25 a 29 años;De Asia;Ambos sexos;1 de julio de 2022;15308
08 Barcelona;De 25 a 29 años;De Oceanía;Ambos sexos;1 de julio de 2022;82
08 Barcelona;De 25 a 29 años;Apátridas;Ambos sexos;1 de julio de 2022;15
08 Barcelona;De 30 a 34 años;Española;Ambos sexos;1 de julio de 2022;236818
08 Barcelona;De 30 a 34 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;24461
08 Barcelona;De 30 a 34 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 30 a 34 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;7647
08 Barcelona;De 30 a 34 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 30 a 34 años;De Africa;Ambos sexos;1 de julio de 2022;14777
08 Barcelona;De 30 a 34 años;De América del Norte;Ambos sexos;1 de julio de 2022;2558
08 Barcelona;De 30 a 34 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;10446
08 Barcelona;De 30 a 34 años;De Sudamérica;Ambos sexos;1 de julio de 2022;28677
08 Barcelona;De 30 a 34 años;De Asia;Ambos sexos;1 de julio de 2022;15179
08 Barcelona;De 30 a 34 años;De Oceanía;Ambos sexos;1 de julio de 2022;144
08 Barcelona;De 30 a 34 años;Apátridas;Ambos sexos;1 de julio de 2022;8
08 Barcelona;De 35 a 39 años;Española;Ambos sexos;1 de julio de 2022;272167
08 Barcelona;De 35 a 39 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;22720
08 Barcelona;De 35 a 39 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 35 a 39 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;7808
08 Barcelona;De 35 a 39 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 35 a 39 años;De Africa;Ambos sexos;1 de julio de 2022;14755
08 Barcelona;De 35 a 39 años;De América del Norte;Ambos sexos;1 de julio de 2022;1970
08 Barcelona;De 35 a 39 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;7474
08 Barcelona;De 35 a 39 años;De Sudamérica;Ambos sexos;1 de julio de 2022;22376
08 Barcelona;De 35 a 39 años;De Asia;Ambos sexos;1 de julio de 2022;11164
08 Barcelona;De 35 a 39 años;De Oceanía;Ambos sexos;1 de julio de 2022;145
08 Barcelona;De 35 a 39 años;Apátridas;Ambos sexos;1 de julio de 2022;5
08 Barcelona;De 40 a 44 años;Española;Ambos sexos;1 de julio de 2022;363720
08 Barcelona;De 40 a 44 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;20544
08 Barcelona;De 40 a 44 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 40 a 44 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;6796
08 Barcelona;De 40 a 44 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
08 Barcelona;De 40 a 44 años;De Africa;Ambos sexos;1 de julio de 2022;12535
08 Barcelona;De 40 a 44 años;De América del Norte;Ambos sexos;1 de julio de 2022;1682
08 Barcelona;De 40 a 44 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;5096
08 Barcelona;De 40 a 44 años;De Sudamérica;Ambos sexos;1 de julio de 2022;17789
08 Barcelona;De 40 a 44 años;De Asia;Ambos sexos;1 de julio de 2022;8976
08 Barcelona;De 40 a 44 años;De Oceanía;Ambos sexos;1 de julio de 2022;108
08 Barcelona;De 40 a 44 años;Apátridas;Ambos sexos;1 de julio de 2022;7
08 Barcelona;De 45 a 49 años;Española;Ambos sexos;1 de julio de 2022;424247
08 Barcelona;De 45 a 49 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;16312
