Provincia,CodMun,Municipio,Extensión superficial (Km2). 2019,Perímetro (m). 2019,Altitud sobre el nivel del mar (m). 2019,Coordenadas del núcleo principal (grados). 2022,Número de núcleos que componen el municipio. 2021,Distancia a la capital (Km). 2019,Población total. 2021,Población. Hombres. 2021,Población. Mujeres. 2021,Población en núcleos. 2021,Población en diseminados. 2021,Edad media. 2021,Porcentaje de población menor de 20 años. 2021,Porcentaje de población mayor de 65 años. 2021,Variación relativa de la población en diez años (%). 2011-2021,Número de extranjeros. 2021,Principal procedencia de los extranjeros residentes. 2021,Porcentaje que representa respecto total de extranjeros. 2021,Emigraciones. 2021,Inmigraciones. 2021,Nacimientos. 2021,Defunciones. 2021,Matrimonios. 2021,Centros de Infantil. Curso 2020-2021,Centros de Primaria. Curso 2020-2021,Centros de Enseñanza Secundaria Obligatoria. Curso 2020-2021,Centros  de Bachillerato. Curso 2020-2021,Centros  C.F. de Grado Medio. Curso 2020-2021,Centros  C.F. de Grado Superior. Curso 2020-2021,Centros de educación de adultos. Curso 2020-2021,Bibliotecas públicas. 2020,Centros de salud. 2021,Consultorios. 2021,Viviendas familiares principales. 2011,Transacciones inmobiliarias. Vivienda nueva. 2021,Transacciones inmobiliarias. Vivienda segunda mano. 2021,Número de pantallas de cine. 2021,Elecciones Generales. Censo electoral. 2019,Elecciones Generales. Abstenciones. 2019,Elecciones Generales. Fuerza política 1. 2019,Elecciones Generales. Fuerza política 2. 2019,Elecciones Generales. Fuerza política 3. 2019,Elecciones Generales. Fuerza política 4. 2019,Elecciones Generales. Fuerza política 5. 2019,Elecciones al Parlamento. Censo electoral. 2022,Elecciones al Parlamento. Abstenciones. 2022,Elecciones al Parlamento. Fuerza política 1. 2022,Elecciones al Parlamento. Fuerza política 2. 2022,Elecciones al Parlamento. Fuerza política 3. 2022,Elecciones al Parlamento. Fuerza política 4. 2022,Elecciones al Parlamento. Fuerza política 5. 2022,Elecciones Locales. Censo electoral. 2019,Elecciones Locales. Abstenciones. 2019,Elecciones Locales. Fuerza política 1. 2019,Elecciones Locales. Fuerza política 2. 2019,Elecciones Locales. Fuerza política 3. 2019,Elecciones Locales. Fuerza política 4. 2019,Elecciones Locales. Fuerza política 5. 2019,Alcaldía. 2019,Superficie dedicada a cultivos herbáceos (ha). 2020,Principal cultivo herbáceo de regadío. 2020,Principal cultivo herbáceo de regadío (ha). 2020,Principal cultivo herbáceo de secano. 2020,Principal cultivo herbáceo de secano (ha). 2020,Superficie dedicada a cultivos leñosos (ha). 2020,Principal cultivo leñoso de regadío. 2020,Principal cultivo leñoso de regadío (ha). 2020,Principal cultivo leñoso de secano. 2020,Principal cultivo leñoso de secano (ha). 2020,Sin asalariados. 2021,Hasta 5 asalariados. 2021,Entre 6 y 19 asalariados. 2021,De 20 y más asalariados. 2021,Total establecimientos. 2021,Actividad 1. 2021,Actividad 2. 2021,Actividad 3. 2021,Actividad 4. 2021,Actividad 5. 2021,Vehículos turismos. 2021,Autorizaciones de transporte: taxis. 2017,Autorizaciones de transporte: mercancías. 2017,Autorizaciones de transporte: viajeros. 2017,Vehículos matriculados. 2021,Vehículos turismos matriculados. 2021,Oficinas de entidades de crédito. 2021,Consumo de energía eléctrica (MWh) (Endesa). 2020,Consumo de energía eléctrica residencial (MWh) (Endesa). 2020,Hoteles. 2020,Hostales y pensiones. 2020,Plazas en hoteles. 2020,Plazas en hostales y pensiones. 2020,Paro registrado. Mujeres. 2021,Paro registrado. Hombres. 2021,Paro registrado. Extranjeros. 2021,Tasa municipal de desempleo. 2021,Contratos registrados. Mujeres. 2021,Contratos registrados. Hombres. 2021,Contratos registrados. Indefinidos. 2021,Contratos registrados. Temporales. 2021,Contratos registrados. Extranjeros. 2021,Trabajadores eventuales agrarios subsidiados. Mujeres. 2021,Trabajadores eventuales agrarios subsidiados. Hombres. 2021,Presupuesto liquidado de ingresos (euros). 2020,Presupuesto liquidado de gastos (euros). 2020,Ingresos por habitante (euros). 2020,Gastos por habitante (euros). 2020,Número de declaraciones. 2020,Renta neta media declarada (euros). 2020,IBI de naturaleza urbana. Número de recibos. 2020,IBI de naturaleza rústica. Número titulares catastrales. 2020,Número de parcelas catastrales: Solares. 2020,Número de parcelas catastrales: Parcelas edificadas. 2020,Situaciones de alta en actividades empresariales. 2019,Situaciones de alta en actividades profesionales. 2019,Situaciones de alta en actividades artísticas. 2019,Bienes muebles. 2021,Bienes inmuebles. 2021,Bienes inmateriales. 2021,Url. 2021
Almería,04090,Tahal,94.53,60513.97,1012,"37.228, -2.285",2,55.2,349,180,169,285,64,52,9.2,31.8,-36.9,45,Rumanía,42.2,35,37,1,3,1,0,0,0,0,0,0,0,0,0,2,229,0,5,0,298,69,PSOE : 105,PP : 62,VOX : 30,PODEMOS-IU : 13,C's : 13,282,95,PP : 77,PSOE-A : 71,VOX : 27,PorA : 3,ADELANTE ANDALUCÍA-ANDALUCISTAS : 2,328,46,PSOE-A : 183,PP : 93,-,-,-,PARTIDO SOCIALISTA OBRERO ESPAÑOL,136,Tomate,52,Cereales de invierno para forrajes,62,1164,Olivar aceituna de aceite,373,Almendro,633,17,15,4,0,36,"Sección A. Agricultura, ganadería, silvicultura y pesca: 14",Sección I. Hostelería: 4,Sección Q. Actividades sanitarias y de servicios sociales: 4,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas: 2,Sección F. Construcción: 2,274,0,7,6,5,4,0,4812,1199,0,0,0,0,10,9,5,14.6,99,145,19,225,110,2,2,527028.8,477786.7,1206.5,444.7,82,9166,391,1078,48,338,30,3,0,0,15,1,https://guiadigital.iaph.es/municipio/367/tahal
Almería,04091,Terque,15.71,39953.87,278,"36.983, -2.597",1,27.2,372,195,177,338,34,53.8,6.7,32,-18.2,45,Marruecos,22.2,28,42,1,7,2,0,0,0,0,0,0,0,1,0,1,204,0,3,0,318,67,PSOE : 173,PP : 34,VOX : 29,PODEMOS-IU : 7,C's : 7,317,105,PSOE-A : 113,PP : 71,VOX : 11,PorA : 7,ADELANTE ANDALUCÍA-ANDALUCISTAS : 4,336,72,PSOE-A : 243,PP : 11,-,-,-,PARTIDO SOCIALISTA OBRERO ESPAÑOL,15,Berenjena,4,-,0,113,Naranjo,80,Olivar aceituna de aceite,3,19,10,1,1,31,"Sección A. Agricultura, ganadería, silvicultura y pesca: 8",Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas: 6,Sección F. Construcción: 5,Sección I. Hostelería: 3,"Sección M. Actividades profesionales, científicas y técnicas: 2",248,0,0,0,5,4,0,2749,537,0,0,0,0,18,13,3,19.7,79,60,4,135,9,2,2,554401.7,466224.2,1059.6,365.9,152,9308,739,471,68,416,32,2,0,0,9,3,https://guiadigital.iaph.es/municipio/368/terque
Almería,04092,Tíjola,67.34,47843.19,681,"37.345, -2.44",5,81.8,3528,1773,1755,3321,207,43.6,19.4,19.8,-9,193,Marruecos,33.7,116,137,21,42,10,2,1,1,1,1,1,2,1,0,2,1352,2,27,0,2791,733,PSOE : 686,PP : 550,VOX : 417,C's : 226,PODEMOS-IU : 113,2795,990,PP : 904,PSOE-A : 423,VOX : 278,PorA : 65,Cs : 55,2826,472,PP : 851,PSOE-A : 737,C's : 625,VOX : 72,I.P.A.L. : 12,CIUDADANOS-PARTIDO DE LA CIUDADANIA,71,Patata media estación,5,Cebada,42,1408,Olivar aceituna de aceite,670,Almendro,497,185,144,13,8,350,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; reparación de vehículos de motor y motocicletas: 86,Sección F. Construcción: 42,"Sección A. Agricultura, ganadería, silvicultura y pesca: 36",Sección I. Hostelería: 26,Sección C. Industria manufacturera: 26,2233,5,169,14,73,41,2,8599,4444,0,0,0,0,137,104,20,16.9,410,487,107,790,176,21,3,4494714.3,4355227.6,1153.4,482.8,1503,15093,2957,1396,317,1993,481,46,2,59,22,0,https://guiadigital.iaph.es/municipio/369/tijola
Almería,04093,Turre,107.89,54228.43,48,"37.152, -1.895",6,74.8,3892,2021,1871,3631,261,45.6,18.2,24,-0.2,1480,Reino Unido,52.6,341,531,35,48,13,2,1,1,0,0,0,2,1,0,1,1476,24,119,0,1917,774,PSOE : 367,VOX : 349,PP : 234,PODEMOS-IU : 90,C's : 74,1945,1043,PP : 354,PSOE-A : 230,VOX : 189,PorA : 68,ADELANTE ANDALUCÍA-ANDALUCISTAS : 14,2409,699,PP : 655,PSOE-A : 581,IU : 307,VOX : 131,-,PARA LA GENTE,375,Lechuga,232,Cereales de invierno para forrajes,20,445,Olivar aceituna de aceite,169,Olivar aceituna de aceite,65,212,83,7,4,306,Sección F. Construcción: 64,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas: 49,Sección I. Hostelería: 40,Sección N. Actividades administrativas y servicios auxiliares: 27,"Sección M. Actividades profesionales, científicas y técnicas: 22",2385,3,24,3,74,52,1,9837,7318,*,*,*,*,221,155,75,24.6,179,167,65,281,101,1,0,3532385.9,3183926.8,893.6,420,1493,10426,4795,1550,563,1973,369,43,2,0,43,2,https://guiadigital.iaph.es/municipio/371/turre
Almería,04094,Turrillas,39.14,29981.25,839,"37.03, -2.265",1,45.2,260,146,114,168,92,50.3,12.3,25.8,11.6,24,Rumanía,50,8,20,0,2,1,0,0,0,0,0,0,0,0,0,1,103,0,1,0,215,59,PP : 88,VOX : 34,PSOE : 29,C's : 4,PODEMOS-IU : 1,228,86,PP : 74,VOX : 46,PSOE-A : 15,PCPA : 1,PorA : 1,213,34,PP : 93,VOX : 67,PSOE-A : 3,-,-,PARTIDO POPULAR,102,Cereales de invierno para forrajes,1,Cereales de invierno para forrajes,95,329,Olivar aceituna de aceite,100,Olivar aceituna de aceite,199,8,4,1,0,13,"Sección A. Agricultura, ganadería, silvicultura y pesca: 4",Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas: 3,Sección I. Hostelería: 1,Sección H. Transporte y almacenamiento: 1,Sección L. Actividades inmobiliarias: 1,146,0,0,0,3,2,0,1387,602,0,0,0,0,6,6,1,15,69,64,0,133,22,4,4,818149.6,647167.6,2826.1,902.2,39,13328,180,522,15,168,8,0,0,0,16,1,https://guiadigital.iaph.es/municipio/372/turrillas
Almería,04095,Uleila del Campo,38.64,27139.45,619,"37.186, -2.204",2,53.4,816,401,415,734,82,49.8,13.4,29.7,-17.5,82,Reino Unido,36.6,50,55,4,13,1,2,1,1,0,0,0,0,0,0,1,394,0,5,0,687,225,PSOE : 146,VOX : 130,PP : 109,C's : 35,PODEMOS-IU : 28,661,251,PP : 182,PSOE-A : 106,VOX : 89,PorA : 13,Cs : 10,714,105,PP : 459,PSOE-A : 141,-,-,-,PARTIDO POPULAR,70,Tomate,19,Cereales de invierno para forrajes,35,1237,Olivar aceituna de aceite,477,Almendro,538,55,33,5,1,94,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; reparación de vehículos de motor y motocicletas: 22,"Sección A. Agricultura, ganadería, silvicultura y pesca: 21",Sección F. Construcción: 9,Sección C. Industria manufacturera: 9,Sección I. Hostelería: 7,548,0,24,0,8,5,0,2449,1082,0,0,0,0,28,25,3,18,211,263,22,452,58,17,1,792538.8,866017.4,937.2,246.8,353,7422,739,623,73,587,106,1,0,0,3,1,https://guiadigital.iaph.es/municipio/373/uleila-del-campo
Almería,04096,Urrácal,25.45,22550.18,735,"37.398, -2.365",1,85,369,190,179,309,60,49.5,11.1,27.1,2.2,55,Reino Unido,58.2,18,26,0,6,1,0,0,0,0,0,0,0,1,0,1,134,0,1,0,285,63,PSOE : 88,PP : 76,VOX : 36,PODEMOS-IU : 14,C's : 5,284,69,PP : 112,PSOE-A : 75,VOX : 16,PorA : 4,Cs : 2,306,17,PP : 144,PSOE-A : 143,-,-,-,PARTIDO POPULAR,4,Haba verde,3,-,0,246,Olivar aceituna de aceite,127,Almendro,55,9,4,2,0,15,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; reparación de vehículos de motor y motocicletas: 2,Sección F. Construcción: 2,Sección I. Hostelería: 2,Sección C. Industria manufacturera: 2,"Sección R. Actividades artísticas, recreativas y de entretenimiento: 2",230,0,4,0,4,3,0,1047,416,0,0,0,0,15,7,1,19.5,71,104,7,168,36,5,2,394875.6,270488.5,867,215,122,10136,458,468,46,397,13,2,0,0,4,0,https://guiadigital.iaph.es/municipio/374/urracal
Almería,04097,Velefique,66.39,41421.09,903,"37.194, -2.402",1,47.5,235,132,103,226,9,57.4,2.6,40,-22.4,3,se,-,11,19,1,2,1,0,0,0,0,0,0,0,0,0,1,152,0,2,0,231,58,PSOE : 77,PP : 40,VOX : 26,PODEMOS-IU : 20,C's : 7,236,77,PP : 66,PSOE-A : 56,VOX : 21,PorA : 9,Cs : 5,243,40,PSOE-A : 150,PP : 44,-,-,-,PARTIDO SOCIALISTA OBRERO ESPAÑOL,0,-,0,-,0,179,Olivar aceituna de aceite,19,Almendro,140,7,1,2,0,10,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; reparación de vehículos de motor y motocicletas: 3,Sección I. Hostelería: 2,"Sección A. Agricultura, ganadería, silvicultura y pesca: 1",Sección F. Construcción: 1,Sección C. Industria manufacturera: 1,135,0,0,0,1,0,0,332,202,0,0,0,0,6,13,0,20.3,12,11,0,23,3,0,1,451130.1,367968.3,1323.6,235.7,41,11262,531,775,184,455,8,0,0,0,12,1,https://guiadigital.iaph.es/municipio/375/velefique
Almería,04098,Vélez-Blanco,441.03,115389.21,1070,"37.691, -2.096",5,131.7,1946,992,954,1452,494,49.5,13.2,28,-14.5,314,Reino Unido,42.7,99,118,13,29,1,2,2,1,0,0,0,2,1,0,2,920,0,28,0,1424,534,PSOE : 321,PP : 215,VOX : 199,C's : 91,PODEMOS-IU : 50,1439,504,PP : 494,PSOE-A : 215,VOX : 142,PorA : 31,Cs : 24,1524,294,PSOE-A : 495,CCVB : 417,C's : 205,PP : 96,-,CIUDADANOS-PARTIDO DE LA CIUDADANIA,5821,Cebada,66,Cebada,3298,3011,Olivar aceituna de aceite,270,Almendro,2477,165,70,2,4,241,"Sección A. Agricultura, ganadería, silvicultura y pesca: 108",Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas: 35,Sección I. Hostelería: 26,Sección F. Construcción: 23,Sección K. Actividades financieras y de seguros: 9,1285,4,27,4,10,7,0,4811,2862,*,*,*,*,54,46,11,15.5,251,388,25,595,183,13,7,1839061.1,1483457.3,718.7,358.8,856,10756,1784,3274,162,1397,164,18,0,56,166,5,https://guiadigital.iaph.es/municipio/376/velez-blanco
Almería,04099,Vélez-Rubio,281.77,82316.65,834,"37.648, -2.074",6,125.9,6521,3188,3333,5542,979,46,17.5,23.4,-8.6,889,Reino Unido,24.6,270,292,60,86,19,3,2,2,1,1,1,3,1,1,0,2682,2,48,0,4930,1404,PSOE : 1.078,VOX : 933,PP : 898,C's : 287,PODEMOS-IU : 208,4754,1657,PP : 1.385,PSOE-A : 670,VOX : 615,Cs : 197,PorA : 98,5032,1320,PP : 1.484,PSOE-A : 969,UNIDXS X VR : 578,C's : 577,-,PARTIDO POPULAR,839,Cebada,31,Cebada,376,10248,Olivar aceituna de aceite,180,Almendro,9726,511,221,20,12,764,"Sección A. Agricultura, ganadería, silvicultura y pesca: 223",Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas: 170,Sección F. Construcción: 69,Sección I. Hostelería: 51,Sección S. Otros servicios: 39,4050,7,112,22,56,38,4,15975,10147,*,*,*,*,227,204,68,18.2,661,744,137,1264,249,34,4,6219363.3,6658986.8,980.6,434.8,3232,11781,6710,4084,767,4318,783,81,0,112,67,12,https://guiadigital.iaph.es/municipio/377/velez-rubio
Almería,04100,Vera,58.11,39215.71,96,"37.247, -1.869",8,83.7,17700,9009,8691,16893,807,39.5,23.9,13.5,20.5,4917,Reino Unido,20.9,1207,1500,164,131,48,8,4,3,3,2,1,4,1,1,1,5389,42,966,1,9433,3834,VOX : 1.635,PSOE : 1.464,PP : 1.433,PODEMOS-IU : 467,C's : 427,10277,5431,PP : 2.260,VOX : 1.087,PSOE-A : 862,PorA : 233,Cs : 127,96651,4042,PP : 3.234,PSOE-A : 1.594,ADELANTE : 258,C's : 219,VOX : 189,PARTIDO POPULAR,1113,Lechuga,340,Cereales de invierno para forrajes,25,724,Naranjo,290,Olivar aceituna de aceite,7,924,548,82,42,1596,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; reparación de vehículos de motor y motocicletas: 409,Sección F. Construcción: 191,Sección I. Hostelería: 186,"Sección M. Actividades profesionales, científicas y técnicas: 146",Sección L. Actividades inmobiliarias: 111,8853,7,472,37,396,220,9,63390,37283,7,1,2629,16,918,628,283,20.7,2585,3766,870,5481,2255,34,19,15681242.9,13169730.7,876.9,756.7,7652,14668,29569,1846,1088,3544,2215,320,12,81,53,0,https://guiadigital.iaph.es/municipio/378/vera
Almería,04101,Viator,20.61,19666.99,70,"36.89, -2.426",2,7.2,6039,3099,2940,5481,558,37.4,24.8,10.8,13.7,433,Marruecos,49,380,412,61,37,19,3,1,1,0,0,0,2,1,0,1,2004,4,77,0,4356,1538,PSOE : 1.051,VOX : 810,PP : 539,PODEMOS-IU : 154,C's : 153,4387,2092,PP : 784,PSOE-A : 713,VOX : 561,PorA : 69,ADELANTE ANDALUCÍA-ANDALUCISTAS : 30,4396,1466,PSOE-A : 1.635,PP : 988,VOX : 186,IU : 43,-,PARTIDO SOCIALISTA OBRERO ESPAÑOL,129,Tomate,101,-,0,56,Naranjo,28,Olivar aceituna de aceite,1,374,365,123,33,895,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; reparación de vehículos de motor y motocicletas: 283,Sección F. Construcción: 109,Sección C. Industria manufacturera: 89,"Sección A. Agricultura, ganadería, silvicultura y pesca: 88",Sección H. Transporte y almacenamiento: 87,3393,2,333,8,155,68,2,29800,9111,*,*,*,*,345,223,43,20.2,1485,2437,578,3340,663,1,1,4880790.6,4609060.8,822.3,496.8,2458,12673,5312,686,330,2086,1189,35,2,0,3,3,https://guiadigital.iaph.es/municipio/379/viator
Almería,04102,Vícar,64.29,54584.63,106,"36.8, -2.646",15,17.5,27398,14898,12500,24202,3196,36.4,24.2,9.1,15.8,9008,Marruecos,43.7,1993,2091,288,167,55,16,9,5,2,2,2,2,7,2,4,7493,6,517,0,14202,4938,VOX : 3.329,PSOE : 2.486,PP : 2.020,C's : 599,PODEMOS-IU : 542,14497,6880,PP : 3.211,VOX : 2.189,PSOE-A : 1.563,PorA : 268,Cs : 93,14366,6036,PSOE-A : 4.714,PP : 1.480,VOX : 1.031,IU : 416,C's : 265,PARTIDO SOCIALISTA OBRERO ESPAÑOL,1871,Pimiento,576,-,0,56,Naranjo,4,Almendro,33,1615,1489,160,87,3351,"Sección A. Agricultura, ganadería, silvicultura y pesca: 1.919",Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas: 494,Sección F. Construcción: 170,Sección H. Transporte y almacenamiento: 115,Sección I. Hostelería: 110,14011,6,658,52,410,260,7,84899,34130,*,*,*,*,1456,1093,961,18.4,6461,6963,1256,12166,6000,18,19,24966204.7,21554224.5,883.9,557.9,11908,10234,17442,3328,897,4964,1997,189,5,0,12,1,https://guiadigital.iaph.es/municipio/380/vicar
Almería,04103,Zurgena,71.63,41952.59,241,"37.343, -2.04",7,87.7,2895,1466,1429,2805,90,51.5,13.2,34.2,-7.6,1233,Reino Unido,76.6,275,337,18,36,6,3,2,1,0,0,0,2,1,0,2,1273,1,68,0,1432,429,PSOE : 337,VOX : 313,PP : 249,C's : 44,PODEMOS-IU : 29,1402,570,PP : 439,PSOE-A : 171,VOX : 169,PorA : 24,Cs : 9,2495,872,PSOE-A : 1.035,PP : 362,C's : 182,-,-,PARTIDO SOCIALISTA OBRERO ESPAÑOL,153,Sandía,15,Cebada,61,945,Naranjo,154,Almendro,360,112,66,8,2,188,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; reparación de vehículos de motor y motocicletas: 35,Sección F. Construcción: 31,"Sección A. Agricultura, ganadería, silvicultura y pesca: 23",Sección I. Hostelería: 20,Sección N. Actividades administrativas y servicios auxiliares: 10,2093,1,22,10,55,43,1,6860,4733,0,0,0,0,91,86,15,19.8,129,201,41,289,119,14,5,2644076,1934034.2,618.1,371.2,1220,10661,2888,1638,338,2048,201,23,2,0,11,0,https://guiadigital.iaph.es/municipio/381/zurgena
Cádiz,11001,Alcalá de los Gazules,481.09,94182.21,167,"36.462, -5.721",1,56.7,5245,2697,2548,4925,320,42.8,18.4,16.4,-5.5,96,Reino Unido,30.2,111,132,33,69,17,4,3,2,1,1,0,2,1,0,1,2105,1,61,0,4360,1550,PSOE : 1.302,VOX : 536,PP : 393,PODEMOS-IU : 225,C's : 189,4369,2037,PP : 884,PSOE-A : 799,VOX : 334,PorA : 120,ADELANTE ANDALUCÍA-ANDALUCISTAS : 57,4360,1480,PSOE-A : 2.050,IU : 476,PP : 281,-,-,PARTIDO SOCIALISTA OBRERO ESPAÑOL,3141,Girasol,217,Trigo,602,302,Olivar aceituna de aceite,31,Olivar aceituna de aceite,262,232,153,29,10,424,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; reparación de vehículos de motor y motocicletas: 108,"Sección A. Agricultura, ganadería, silvicultura y pesca: 97",Sección I. Hostelería: 53,Sección F. Construcción: 29,"Sección M. Actividades profesionales, científicas y técnicas: 25",2687,4,30,4,57,32,3,153,145,*,*,*,*,515,296,13,30.8,967,1547,143,2371,50,11,9,5477587,5327361.5,990.8,667,2275,12628,4533,995,242,1677,511,50,0,155,73,3,https://guiadigital.iaph.es/municipio/1762/alcala-de-los-gazules
Cádiz,11002,Alcalá del Valle,46.9,31948.79,619,"36.905, -5.173",1,135.5,5031,2526,2505,4996,35,44,18.1,18.6,-5,73,Marruecos,16.4,131,99,32,49,10,3,2,1,1,1,0,2,1,1,0,1832,16,21,0,4218,1042,PSOE : 1.483,PODEMOS-IU : 1.313,PP : 134,VOX : 101,C's : 64,4161,1600,PSOE-A : 1.027,PorA : 928,PP : 354,ADELANTE ANDALUCÍA-ANDALUCISTAS : 91,VOX : 74,4211,483,ADELANTE : 1.825,PSOE-A : 1.335,ALCALA SOMOS TODOS : 519,PP : 19,-,ADELANTE-SEVILLA:PODEMOS-IZQUIERDA UNIDA ANDALUCÍA PRIMAVERA ANDALUZA,1238,Avena,5,Trigo,550,1791,-,0,Olivar aceituna de aceite,1771,141,144,18,4,307,"Sección A. Agricultura, ganadería, silvicultura y pesca: 104",Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas: 78,Sección I. Hostelería: 31,Sección S. Otros servicios: 18,Sección F. Construcción: 16,2705,4,10,12,40,28,2,0,0,*,*,*,*,171,249,8,28.2,2041,1798,39,3800,15,335,99,6037720,4791513.7,917.7,248,2369,8440,2714,1033,294,2043,327,17,1,0,84,0,https://guiadigital.iaph.es/municipio/1763/alcala-del-valle
Cádiz,11003,Algar,26.62,32911.31,205,"36.655, -5.657",1,74.4,1442,739,703,1311,131,45.1,18.2,21.2,-4.2,53,Marruecos,75.5,62,61,12,22,6,2,1,0,0,0,0,1,1,0,1,557,0,11,0,1230,428,PSOE : 276,VOX : 205,PP : 202,C's : 48,PODEMOS-IU : 39,1199,516,PP : 374,PSOE-A : 157,VOX : 86,PorA : 30,Cs : 13,1239,271,PP : 603,PSOE-A : 224,ADELANTE : 126,-,-,PARTIDO POPULAR,332,Cereales de invierno para forrajes,1,Triticale,100,94,-,0,Olivar aceituna de aceite,90,65,49,8,1,123,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; reparación de vehículos de motor y motocicletas: 34,"Sección A. Agricultura, ganadería, silvicultura y pesca: 21",Sección I. Hostelería: 21,Sección F. Construcción: 15,Sección C. Industria manufacturera: 6,1035,1,11,1,151,116,1,104,54,*,*,*,*,104,57,7,26.8,286,247,20,511,3,19,5,1336167.8,1219645.5,823,284.4,551,11197,1008,288,25,715,125,16,3,0,14,1,https://guiadigital.iaph.es/municipio/1764/algar
Cádiz,11004,Algeciras,85.84,61255.19,18,"36.132, -5.448",2,104.7,122982,60664,62318,122677,305,41.1,22.7,16.4,4.4,10325,Marruecos,61.9,4289,3977,941,1237,464,43,30,20,13,10,13,8,2,3,7,42692,130,1519,10,89919,34708,VOX : 15.492,PSOE : 15.066,PP : 10.197,PODEMOS-IU : 5.897,C's : 4.764,90269,48213,PP : 17.348,VOX : 8.596,PSOE-A : 7.716,PorA : 3.131,ADELANTE ANDALUCÍA-ANDALUCISTAS : 2.183,89806,45736,PP : 18.053,PSOE-A : 11.626,ADELANTE : 4.086,VOX : 3.610,C's : 3.486,PARTIDO POPULAR,0,-,0,-,0,2,Melocotonero,2,-,0,3593,2413,644,212,6862,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; reparación de vehículos de motor y motocicletas: 1.887,Sección H. Transporte y almacenamiento: 782,Sección I. Hostelería: 571,"Sección M. Actividades profesionales, científicas y técnicas: 570",Sección F. Construcción: 497,61297,167,820,250,2603,1753,28,370104,165357,10,15,1253,522,9758,6492,1848,31,20320,71996,2799,89473,2205,1,1,99630132.4,96505817,818,551,48554,21334,78524,650,1655,16802,8480,1626,55,81,86,1,https://guiadigital.iaph.es/municipio/1765/algeciras
Cádiz,11005,Algodonales,134.21,56713.16,366,"36.881, -5.404",2,106.4,5526,2784,2742,5109,417,44.8,18.1,20.8,-4.7,160,Reino Unido,35.6,115,128,34,66,14,5,3,2,1,1,0,2,1,0,2,2250,0,59,0,4508,1530,PSOE : 1.416,PP : 467,VOX : 392,PODEMOS-IU : 322,C's : 202,4515,2075,PSOE-A : 968,PP : 879,VOX : 191,PorA : 147,ADELANTE ANDALUCÍA-ANDALUCISTAS : 86,4548,1416,PSOE-A : 1.516,PP : 1.069,ADELANTE : 444,-,-,PARTIDO SOCIALISTA OBRERO ESPAÑOL,2612,Trigo,30,Avena,650,3066,Olivar aceituna de aceite,2,Olivar aceituna de aceite,3045,202,147,16,5,370,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; reparación de vehículos de motor y motocicletas: 99,"Sección A. Agricultura, ganadería, silvicultura y pesca: 78",Sección I. Hostelería: 49,Sección F. Construcción: 26,Sección C. Industria manufacturera: 18,2600,3,21,3,79,35,1,1114,384,0,0,0,0,308,237,10,27.3,1921,1814,53,3682,44,139,69,4431229.3,3852896.2,678.7,286.1,2393,10148,3913,1708,403,3084,449,49,4,0,39,3,https://guiadigital.iaph.es/municipio/1766/algodonales
