Año	Precio m2	Variación mensual	Variación trimestral	Variación anual
Octubre 2016	1.113 €/m2	+ 0,6 %	+ 1,3 %	- 2,3 %
Septiembre 2016	1.107 €/m2	+ 0,7 %	- 0,3 %	- 2,0 %
Agosto 2016	1.099 €/m2	0,0 %	- 0,7 %	- 3,2 %
Julio 2016	1.099 €/m2	- 1,0 %	- 0,3 %	- 3,4 %
Junio 2016	1.110 €/m2	+ 0,3 %	- 0,2 %	- 1,8 %
Mayo 2016	1.106 €/m2	+ 0,3 %	- 1,3 %	- 2,8 %
Abril 2016	1.103 €/m2	- 0,9 %	- 2,4 %	- 2,6 %
Marzo 2016	1.113 €/m2	- 0,8 %	- 2,6 %	- 2,9 %
Febrero 2016	1.121 €/m2	- 0,8 %	- 1,5 %	- 3,0 %
Enero 2016	1.130 €/m2	- 1,1 %	- 0,9 %	- 1,6 %
Diciembre 2015	1.142 €/m2	+ 0,3 %	+ 1,2 %	- 3,1 %
Noviembre 2015	1.139 €/m2	- 0,2 %	+ 0,3 %	- 3,5 %
Octubre 2015	1.140 €/m2	+ 1,0 %	+ 0,3 %	- 2,8 %
Septiembre 2015	1.129 €/m2	- 0,5 %	- 0,1 %	- 2,5 %
Agosto 2015	1.135 €/m2	- 0,2 %	- 0,3 %	- 2,8 %
Julio 2015	1.137 €/m2	+ 0,6 %	+ 0,4 %	- 1,7 %
Junio 2015	1.130 €/m2	- 0,7 %	- 1,4 %	- 6,7 %
Mayo 2015	1.138 €/m2	+ 0,5 %	- 1,5 %	- 7,2 %
Abril 2015	1.133 €/m2	- 1,1 %	- 1,4 %	- 3,9 %
Marzo 2015	1.146 €/m2	- 0,9 %	- 2,9 %	- 0,7 %
Febrero 2015	1.156 €/m2	+ 0,7 %	- 2,0 %	- 0,3 %
Enero 2015	1.148 €/m2	- 2,6 %	- 2,1 %	- 3,6 %
Diciembre 2014	1.179 €/m2	0,0 %	+ 1,8 %	- 2,5 %
Noviembre 2014	1.180 €/m2	+ 0,6 %	+ 1,1 %	- 3,1 %
