Año	Precio m2	Variación mensual	Variación trimestral	Variación anual
Octubre 2016	1.011 €/m2	+ 0,8 %	+ 0,4 %	- 0,3 %
Septiembre 2016	1.002 €/m2	+ 0,4 %	- 0,5 %	- 0,5 %
Agosto 2016	999 €/m2	- 0,8 %	- 1,2 %	- 1,5 %
Julio 2016	1.007 €/m2	- 0,1 %	- 0,5 %	- 1,6 %
Junio 2016	1.008 €/m2	- 0,3 %	- 0,4 %	- 1,5 %
Mayo 2016	1.011 €/m2	- 0,1 %	- 0,2 %	- 3,3 %
Abril 2016	1.012 €/m2	0,0 %	0,0 %	- 3,8 %
Marzo 2016	1.011 €/m2	- 0,2 %	+ 0,4 %	- 3,4 %
Febrero 2016	1.013 €/m2	+ 0,2 %	+ 0,2 %	- 2,9 %
Enero 2016	1.011 €/m2	+ 0,4 %	- 0,2 %	- 2,6 %
Diciembre 2015	1.007 €/m2	- 0,4 %	0,0 %	- 2,8 %
Noviembre 2015	1.011 €/m2	- 0,3 %	- 0,3 %	- 3,0 %
Octubre 2015	1.014 €/m2	+ 0,7 %	- 0,9 %	- 3,8 %
Septiembre 2015	1.007 €/m2	- 0,7 %	- 1,6 %	- 4,2 %
Agosto 2015	1.013 €/m2	- 0,9 %	- 3,0 %	- 3,9 %
Julio 2015	1.023 €/m2	- 0,1 %	- 2,7 %	- 3,1 %
Junio 2015	1.023 €/m2	- 2,1 %	- 2,2 %	- 6,7 %
Mayo 2015	1.045 €/m2	- 0,6 %	+ 0,2 %	- 4,8 %
Abril 2015	1.052 €/m2	+ 0,5 %	+ 1,2 %	- 2,9 %
Marzo 2015	1.047 €/m2	+ 0,3 %	+ 1,0 %	- 3,7 %
Febrero 2015	1.043 €/m2	+ 0,5 %	+ 0,2 %	- 5,9 %
Enero 2015	1.039 €/m2	+ 0,3 %	- 1,4 %	- 7,0 %
Diciembre 2014	1.036 €/m2	- 0,5 %	- 1,4 %	- 9,2 %
Noviembre 2014	1.042 €/m2	- 1,1 %	- 1,2 %	- 6,7 %
Octubre 2014	1.053 €/m2	+ 0,2 %	- 0,2 %	- 5,2 %
Septiembre 2014	1.051 €/m2	- 0,3 %	- 4,1 %	- 7,8 %
Agosto 2014	1.054 €/m2	- 0,1 %	- 4,0 %	- 8,4 %
Julio 2014	1.055 €/m2	- 3,7 %	- 2,6 %	- 10,3 %
Junio 2014	1.096 €/m2	- 0,1 %	+ 0,9 %	- 8,1 %
Mayo 2014	1.098 €/m2	+ 1,3 %	- 1,0 %	- 8,7 %
Abril 2014	1.083 €/m2	- 0,3 %	- 3,0 %	- 10,9 %
Marzo 2014	1.087 €/m2	- 2,0 %	- 4,7 %	- 12,7 %
Febrero 2014	1.109 €/m2	- 0,7 %	- 0,7 %	- 7,9 %
Enero 2014	1.117 €/m2	- 2,1 %	+ 0,4 %	- 8,1 %
Diciembre 2013	1.140 €/m2	+ 2,1 %	+ 0,1 %	- 8,8 %
Noviembre 2013	1.117 €/m2	+ 0,4 %	- 3,0 %	- 12,5 %
Octubre 2013	1.112 €/m2	- 2,4 %	- 5,5 %	- 13,7 %
Septiembre 2013	1.139 €/m2	- 1,0 %	- 4,5 %	- 12,0 %
Agosto 2013	1.151 €/m2	- 2,2 %	- 4,2 %	- 12,5 %
Julio 2013	1.176 €/m2	- 1,4 %	- 3,3 %	- 10,7 %
Junio 2013	1.193 €/m2	- 0,7 %	- 4,1 %	- 10,3 %
Mayo 2013	1.202 €/m2	- 1,2 %	- 0,2 %	- 11,3 %
Abril 2013	1.216 €/m2	- 2,3 %	+ 0,1 %	- 12,1 %
Marzo 2013	1.245 €/m2	+ 3,4 %	- 0,4 %	- 9,9 %
Febrero 2013	1.204 €/m2	- 0,9 %	- 5,6 %	- 14,5 %
Enero 2013	1.215 €/m2	- 2,8 %	- 5,6 %	- 14,9 %
Diciembre 2012	1.250 €/m2	- 2,1 %	- 3,4 %	- 12,7 %
Noviembre 2012	1.276 €/m2	- 0,9 %	- 3,0 %	- 12,7 %
Octubre 2012	1.288 €/m2	- 0,5 %	- 2,2 %	- 10,6 %
Septiembre 2012	1.294 €/m2	- 1,6 %	- 2,8 %	- 8,2 %
Agosto 2012	1.316 €/m2	- 0,1 %	- 2,9 %	- 6,4 %
Julio 2012	1.317 €/m2	- 1,1 %	- 4,7 %	- 7,1 %
Junio 2012	1.331 €/m2	- 1,8 %	- 3,7 %	- 7,6 %
Mayo 2012	1.355 €/m2	- 2,0 %	- 3,8 %	- 7,7 %
Abril 2012	1.383 €/m2	+ 0,1 %	- 3,2 %	- 5,6 %
Marzo 2012	1.382 €/m2	- 1,9 %	- 3,5 %	- 6,7 %
Febrero 2012	1.409 €/m2	- 1,4 %	- 3,6 %	- 4,5 %
Enero 2012	1.429 €/m2	- 0,2 %	- 0,8 %	- 4,6 %
Diciembre 2011	1.432 €/m2	- 2,0 %	+ 1,5 %	- 4,5 %
Noviembre 2011	1.462 €/m2	+ 1,5 %	+ 4,0 %	- 2,7 %
Octubre 2011	1.440 €/m2	+ 2,1 %	+ 1,6 %	- 5,4 %
Septiembre 2011	1.411 €/m2	+ 0,4 %	- 2,1 %	- 9,3 %
Agosto 2011	1.406 €/m2	- 0,9 %	- 4,3 %	- 10,4 %
