"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"33044 Oviedo"	217552	219910	219686	220020	220301	220567	221870	223765	225089	225973	225391	225155	224005	220644	216607	214883	212174	209495	207699	202938	201005
"33045 Parres"	5292	5315	5336	5353	5389	5479	5490	5590	5615	5699	5796	5804	5842	5803	5725	5736	5736	5705	5656	5591	5555
"33046 Peñamellera Alta"	512	498	514	531	544	533	559	570	563	598	617	607	600	643	671	651	670	667	689	699	718
"33047 Peñamellera Baja"	1244	1227	1226	1246	1261	1253	1291	1300	1331	1317	1319	1326	1391	1410	1421	1442	1470	1515	1510	1557	1579
"33048 Pesoz"	141	148	147	146	156	170	172	173	183	191	189	184	193	194	197	204	218	221	228	238	256
"33049 Piloña"	6921	6875	6973	7101	7178	7311	7412	7530	7650	7793	7915	7994	8060	8160	8243	8448	8440	8475	8573	8667	8799
"33050 Ponga"	574	572	586	598	623	643	655	663	679	686	688	678	684	678	686	694	699	701	715	728	759
"33051 Pravia"	7936	7984	8113	8282	8384	8502	8667	8799	8919	9016	8995	9012	9131	9135	9118	9180	9200	9087	9208	9245	9290
"33052 Proaza"	722	707	744	737	754	774	786	786	794	813	823	814	797	790	794	795	810	815	849	876	903
"33053 Quirós"	1207	1187	1158	1194	1212	1235	1250	1277	1291	1294	1309	1341	1389	1425	1405	1416	1465	1488	1497	1566	1611
"33054 Regueras, Las"	1877	1839	1826	1865	1874	1909	1934	1916	1931	1952	1981	2003	2025	2049	2026	2048	2088	2091	2093	2097	2155
"33055 Ribadedeva"	1724	1741	1756	1758	1753	1791	1836	1862	1888	1904	1882	1865	1852	1875	1887	1907	1901	1890	1853	1828	1846
"33056 Ribadesella"	5686	5688	5746	5730	5779	5848	5904	6002	6097	6209	6242	6301	6296	6296	6286	6211	6205	6220	6171	6270	6241
"33057 Ribera de Arriba"	1851	1837	1854	1857	1873	1906	1890	1903	1943	1971	1984	1989	1973	1997	2000	2009	1968	2005	1968	1987	1984
"33058 Riosa"	1836	1848	1858	1933	1991	2040	2061	2098	2137	2140	2170	2187	2200	2262	2289	2307	2362	2411	2491	2543	2551
"33059 Salas"	4878	4900	4959	5084	5140	5260	5371	5516	5578	5659	5782	5886	5962	6007	6082	6195	6310	6447	6544	6695	6812
"33061 San Martín de Oscos"	353	376	377	393	403	410	422	446	472	484	503	433	448	462	469	466	469	477	482	502	519
"33060 San Martín del Rey Aurelio"	15665	15817	16074	16283	16584	16850	17182	17460	17770	17953	18286	18549	18729	18810	19115	19430	19698	19938	19973	20186	20499
"33063 San Tirso de Abres"	419	421	410	433	447	473	473	498	515	521	531	542	556	564	576	590	620	612	615	628	636
"33062 Santa Eulalia de Oscos"	434	449	450	453	461	469	471	488	500	503	510	501	515	528	554	547	550	564	563	557	565
"33064 Santo Adriano"	277	273	288	288	278	270	263	256	260	263	265	248	253	268	279	280	280	284	294	320	323
"33065 Sariego"	1297	1254	1252	1254	1252	1260	1276	1295	1303	1313	1320	1322	1331	1323	1328	1345	1364	1366	1361	1372	1369
"33066 Siero"	51608	51509	51667	51662	51776	51969	52191	52380	52301	52229	52094	51730	51181	50233	49491	49376	48991	48909	48830	48569	48368
"33067 Sobrescobio"	829	814	811	818	834	859	855	871	877	872	895	898	873	871	873	876	873	873	852	839	808
"33068 Somiedo"	1104	1093	1153	1125	1142	1190	1231	1281	1314	1354	1409	1410	1435	1467	1494	1544	1570	1527	1541	1631	1616
"33069 Soto del Barco"	3850	3800	3866	3887	3924	3940	3978	4012	4052	4048	4075	4056	4052	4060	4085	4150	4162	4119	4121	4178	4249
"33070 Tapia de Casariego"	3683	3726	3786	3795	3851	3877	3906	3929	3971	4002	4045	4121	4186	4223	4254	4268	4290	4325	4333	4358	4343
"33071 Taramundi"	592	602	623	646	652	670	698	706	737	736	732	733	739	769	775	800	828	840	851	875	893
"33072 Teverga"	1584	1554	1572	1628	1678	1721	1768	1807	1853	1899	1929	1932	1933	1944	1916	1973	2035	2049	2065	2172	2230
"33073 Tineo"	9096	9199	9389	9543	9700	9904	10128	10413	10344	10652	10829	11018	11146	11377	11539	11801	12071	12312	12422	12566	12797
"33034 Valdés"	11281	11394	11504	11734	11987	12243	12421	12635	12871	13058	13241	13371	13529	13715	13838	14038	14205	14395	14643	14854	15060
"33074 Vegadeo"	3914	3926	3926	3866	3894	3911	3960	3996	4045	4131	4160	4222	4240	4289	4342	4367	4438	4465	4501	4573	4704
"33075 Villanueva de Oscos"	275	272	292	298	303	307	310	316	330	345	364	388	382	404	411	406	404	416	422	419	423
"33076 Villaviciosa"	14869	14470	14439	14430	14455	14642	14690	14820	14971	14989	14962	14840	14775	14639	14520	14457	14360	14166	14232	14189	14211
"33077 Villayón"	1151	1180	1206	1248	1280	1315	1366	1393	1430	1460	1520	1543	1582	1621	1656	1721	1771	1820	1844	1895	1940
"33078 Yernes y Tameza"	128	133	132	140	140	155	159	166	168	166	178	170	185	200	213	190	197	206	208	226	215
