Nombre	Frecuencia	Edad Media
MARIA CARMEN	181160 	59.5
MARIA	181161 	48.4
CARMEN	181162	60.5
ANA MARIA	181163	53.6
MARIA	PILAR	181164	59.4
LAURA	181165	30.8
JOSEFA	181166	69.6
ISABEL	181167	58.7
MARIA DOLORES	181168	58.9
MARIA TERESA	181169 	59.4
ANA	181170 	44.8
MARTA	181171 	31.7
CRISTINA	181172 	36.4
MARIA ANGELES	181173 	57.7
LUCIA	181174 	24.2
MARIA ISABEL	181175 	55.5
MARIA JOSE	181176 	48.7
FRANCISCA	181177 	66.5
ANTONIA	181178 	66.3
DOLORES	181179 	68.3
