"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"41038 Dos Hermanas"	136250	135050	133968	133168	132551	131855	131317	130369	129719	128794	127375	125086	122943	120323	117564	114672	112273	109595	107258	103282	100871
"41039 Écija"	39838	39893	39873	39882	40087	40270	40320	40634	40880	40683	40718	40534	40400	40143	39510	39295	38911	38472	38083	37900	37777
"41040 Espartinas"	16048	15824	15791	15683	15423	15198	14909	14723	14485	14217	13624	13166	12648	11838	10485	9177	7958	7226	6546	5802	5566
"41041 Estepa"	12459	12497	12505	12503	12526	12615	12716	12667	12631	12671	12637	12682	12632	12547	12397	12296	12153	12101	12030	11980	11831
"41042 Fuentes de Andalucía"	7160	7152	7111	7139	7149	7166	7190	7188	7257	7315	7274	7309	7358	7360	7365	7353	7378	7369	7398	7441	7491
"41043 Garrobo, El"	812	782	790	789	775	770	777	774	769	777	783	772	785	786	793	812	808	778	765	761	765
"41044 Gelves"	10295	10193	10184	10054	10051	9951	9838	9688	9591	9506	9401	9244	9083	8828	8540	8325	7958	7566	7224	6625	6249
"41045 Gerena"	7740	7674	7585	7541	7489	7444	7404	7309	7207	7187	6994	6812	6503	6180	6016	5887	5827	5762	5720	5601	5534
"41046 Gilena"	3709	3727	3727	3790	3826	3825	3861	3867	3897	3919	3941	3960	3933	3948	3915	3898	3848	3821	3829	3839	3868
"41047 Gines"	13529	13428	13420	13471	13361	13261	13309	13299	13299	13302	13189	13108	12934	12651	12568	12338	12177	11756	11430	10717	10292
"41048 Guadalcanal"	2588	2608	2627	2646	2659	2706	2744	2805	2861	2897	2927	2962	2973	3001	2994	2970	2927	2918	2946	2937	2959
"41049 Guillena"	13054	12903	12788	12650	12647	12570	12506	12464	12328	12139	11823	11456	11109	10654	9995	9318	9035	8760	8615	8449	8478
"41050 Herrera"	6504	6464	6461	6485	6463	6503	6467	6525	6510	6526	6543	6516	6530	6521	6450	6342	6302	6184	6123	6079	6067
"41051 Huévar del Aljarafe"	3129	3060	3015	2944	2883	2836	2791	2746	2742	2723	2710	2658	2575	2589	2533	2461	2457	2412	2332	2313	2289
"41902 Isla Mayor"	5826	5825	5839	5857	5889	5911	5938	5930	5948	5948	5915	5930	5873	5810	5759	5798	5853	5899	5937	6008	6044
"41052 Lantejuela"	3856	3846	3814	3834	3836	3858	3873	3899	3938	3938	3904	3882	3885	3852	3800	3795	3777	3740	3685	3642	3629
"41053 Lebrija"	27616	27578	27524	27432	27410	27398	27449	27385	27395	27267	27029	26783	26434	26046	25614	25165	24866	24677	24544	24450	24278
