"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"15041 Laracha, A"	11521	11406	11347	11302	11281	11295	11402	11443	11375	11367	11337	11213	11171	11079	10871	10803	10806	10800	10782	10683	10666
"15040 Laxe"	3004	2990	3016	3084	3090	3148	3185	3207	3267	3313	3366	3417	3413	3434	3453	3489	3539	3558	3544	3557	3575
"15042 Lousame"	3235	3268	3338	3386	3447	3429	3463	3513	3493	3621	3657	3699	3687	3702	3756	3798	3854	3912	3957	4035	4117
"15043 Malpica de Bergantiños"	5332	5352	5391	5447	5518	5616	5666	5768	5875	5998	6102	6178	6228	6320	6432	6567	6786	6890	6944	7070	7172
"15044 Mañón"	1309	1319	1356	1363	1391	1420	1454	1455	1507	1537	1589	1602	1622	1628	1693	1765	1803	1830	1848	1898	1921
"15045 Mazaricos"	3806	3841	3885	3947	4014	4087	4173	4289	4141	4533	4720	4854	4939	5050	5179	5329	5488	5639	5787	5948	6072
"15046 Melide"	7427	7419	7406	7443	7503	7488	7538	7578	7313	7502	7824	7838	7874	7901	7916	7931	7866	7809	8345	8383	8462
"15047 Mesía"	2479	2497	2530	2582	2637	2700	2734	2795	2849	2879	2922	2918	2975	3033	3080	3102	3174	3216	3240	3304	3356
"15048 Miño"	6423	6277	6200	6056	5905	5832	5859	5838	5786	5739	5760	5628	5488	5326	5256	5162	5127	5089	5096	5044	4986
"15049 Moeche"	1200	1186	1226	1226	1230	1220	1246	1303	1335	1358	1363	1401	1416	1435	1441	1437	1469	1461	1478	1490	1536
"15050 Monfero"	1908	1907	1932	1962	1985	2019	2037	2089	2109	2129	2178	2239	2299	2353	2400	2414	2444	2490	2552	2595	2639
"15051 Mugardos"	5226	5215	5245	5307	5303	5335	5362	5417	5470	5456	5481	5536	5565	5605	5636	5638	5628	5612	5737	5859	5921
"15053 Muros"	8399	8427	8556	8695	8792	8834	8960	9117	9281	9437	9565	9704	9787	9823	9931	9999	9995	10050	10095	10272	10378
"15052 Muxía"	4564	4596	4657	4736	4852	4941	5025	5068	5162	5269	5377	5423	5510	5579	5663	5746	5823	5899	6029	6103	6191
"15054 Narón"	38913	39056	39080	39115	39280	39426	39565	39574	39450	39238	38910	38285	37712	37008	36245	35664	35083	34404	33825	29263	29466
"15055 Neda"	5032	5023	5079	5112	5165	5197	5261	5327	5413	5422	5442	5489	5528	5553	5649	5675	5771	5804	5913	6074	6155
"15056 Negreira"	6775	6788	6827	6877	6883	6911	6936	7009	7091	7079	7077	7029	6941	6573	6453	6481	6519	6497	6529	6573	6570
"15057 Noia"	14240	14274	14263	14271	14295	14337	14472	14571	14659	14757	14876	14947	14970	14875	14808	14702	14637	14481	14586	14391	14410
"15058 Oleiros"	36922	36534	36075	35559	35198	35013	34693	34563	34470	34386	34133	33550	33443	32381	31694	31264	30467	29671	28643	27453	26886
"15059 Ordes"	12605	12625	12674	12632	12580	12669	12776	12844	12939	12963	12948	12868	12757	12534	12359	12294	12272	12287	12266	12015	11938
"15060 Oroso"	7530	7533	7500	7452	7452	7420	7413	7400	7431	7328	7174	7050	6987	6804	6554	6526	6345	6155	5933	5648	5512
"15061 Ortigueira"	5485	5633	5671	5804	5966	6093	6136	5997	6064	6550	6956	6871	7150	7311	7406	7376	7697	7830	8022	8299	8397
"15062 Outes"	6150	6155	6282	6412	6514	6606	6691	6804	7010	7192	7243	7313	7425	7547	7681	7751	7889	8050	8243	8398	8553
"15063 Oza dos Ríos"	..	..	..	..	..	..	..	..	3204	3227	3229	3198	3202	3206	3203	3184	3163	3154	3125	3160	3219
"15902 Oza-Cesuras"	5170	5096	5101	5155	5133	5181	5253	5275	..	..	..	..	..	..	..	..	..	..	..	..	..
"15064 Paderne"	2393	2383	2394	2419	2441	2445	2467	2502	2534	2597	2628	2653	2672	2722	2710	2735	2715	2689	2680	2751	2758
"15065 Padrón"	8317	8366	8384	8386	8463	8581	8643	8693	8707	8882	8924	8985	8968	9016	9030	9016	9035	9070	9136	9242	9295
"15066 Pino, O"	4639	4652	4641	4656	4644	4653	4706	4680	4708	4732	4743	4718	4710	4782	4832	4885	4901	4940	4948	5016	4945
"15067 Pobra do Caramiñal, A"	9291	9318	9338	9390	9440	9525	9623	9672	9646	9664	9726	9858	9878	9934	9923	10001	9951	9992	10010	10006	10035
"15068 Ponteceso"	5457	5497	5502	5565	5613	5703	5789	5893	5964	6065	6134	6215	6302	6381	6494	6588	6698	6810	6880	7019	7118
"15069 Pontedeume"	7687	7753	7777	7884	7937	8005	8011	8117	8213	8324	8342	8370	8457	8561	8635	8619	8663	8694	8746	8860	8912
"15070 Pontes de García Rodríguez, As"	10032	10068	10138	10237	10324	10399	10503	10634	10564	10996	11139	11336	11431	11384	11531	11697	11771	11911	12108	12367	12440
"15071 Porto do Son"	9155	9142	9171	9243	9271	9386	9436	9571	9613	9699	9847	9873	9867	9845	9899	10025	9990	10039	10134	10085	10212
"15072 Rianxo"	11004	11013	11033	11104	11188	11295	11386	11479	11598	11729	11780	11826	11769	11578	11554	11246	11528	11582	11629	11747	11780
"15073 Ribeira"	26839	26848	26886	27067	27159	27249	27372	27565	27811	27778	27699	27504	27518	27430	27181	27053	26884	26623	26589	26343	26434
"15074 Rois"	4493	4505	4512	4564	4627	4657	4710	4767	4818	4871	4910	4936	4995	5012	5034	5105	5149	5122	5137	5123	5180
"15075 Sada"	16382	16186	15841	15495	15242	15150	15080	15156	15075	14922	14870	14734	14487	14036	13606	13134	12867	12453	11963	11686	11351
"15076 San Sadurniño"	2812	2784	2822	2828	2877	2944	3009	3019	3020	3061	3099	3098	3119	3125	3123	3182	3179	3229	3272	3337	3389
