Año	Precio m2	Variación mensual	Variación trimestral	Variación anual
Octubre 2016	1.822 €/m2	- 0,4 %	- 0,6 %	+ 4,5 %
Septiembre 2016	1.829 €/m2	+ 0,4 %	+ 1,4 %	+ 5,0 %
Agosto 2016	1.821 €/m2	- 0,6 %	+ 1,3 %	+ 4,2 %
Julio 2016	1.833 €/m2	+ 1,6 %	+ 1,8 %	+ 3,4 %
Junio 2016	1.804 €/m2	+ 0,4 %	+ 1,0 %	+ 1,0 %
Mayo 2016	1.797 €/m2	- 0,2 %	+ 1,3 %	+ 1,1 %
Abril 2016	1.800 €/m2	+ 0,8 %	+ 1,2 %	+ 0,9 %
Marzo 2016	1.786 €/m2	+ 0,7 %	+ 0,3 %	- 0,8 %
Febrero 2016	1.773 €/m2	- 0,3 %	+ 0,2 %	- 1,0 %
Enero 2016	1.778 €/m2	- 0,2 %	+ 2,0 %	- 0,2 %
Diciembre 2015	1.781 €/m2	+ 0,6 %	+ 2,2 %	+ 0,4 %
Noviembre 2015	1.770 €/m2	+ 1,6 %	+ 1,2 %	- 0,7 %
Octubre 2015	1.743 €/m2	0,0 %	- 1,7 %	- 0,9 %
Septiembre 2015	1.742 €/m2	- 0,4 %	- 2,5 %	- 1,0 %
Agosto 2015	1.749 €/m2	- 1,3 %	- 1,6 %	- 1,1 %
Julio 2015	1.772 €/m2	- 0,8 %	- 0,6 %	- 0,4 %
Junio 2015	1.786 €/m2	+ 0,5 %	- 0,8 %	+ 0,5 %
Mayo 2015	1.777 €/m2	- 0,3 %	- 0,8 %	0,0 %
Abril 2015	1.783 €/m2	- 1,0 %	+ 0,1 %	- 0,2 %
Marzo 2015	1.801 €/m2	+ 0,5 %	+ 1,5 %	+ 0,5 %
Febrero 2015	1.791 €/m2	+ 0,5 %	+ 0,5 %	- 0,9 %
Enero 2015	1.781 €/m2	+ 0,4 %	+ 1,3 %	- 2,1 %
Diciembre 2014	1.774 €/m2	- 0,5 %	+ 0,8 %	- 1,9 %
Noviembre 2014	1.782 €/m2	+ 1,4 %	+ 0,9 %	- 1,7 %
Octubre 2014	1.758 €/m2	- 0,2 %	- 1,2 %	- 3,7 %
Septiembre 2014	1.761 €/m2	- 0,4 %	- 0,9 %	- 2,3 %
Agosto 2014	1.767 €/m2	- 0,6 %	- 0,6 %	- 4,8 %
Julio 2014	1.779 €/m2	+ 0,1 %	- 0,4 %	- 4,8 %
Junio 2014	1.777 €/m2	- 0,1 %	- 0,8 %	- 3,7 %
Mayo 2014	1.778 €/m2	- 0,5 %	- 1,6 %	- 4,6 %
Abril 2014	1.786 €/m2	- 0,3 %	- 1,8 %	- 4,2 %
Marzo 2014	1.792 €/m2	- 0,8 %	- 0,9 %	- 5,0 %
Febrero 2014	1.807 €/m2	- 0,7 %	- 0,3 %	- 5,3 %
Enero 2014	1.819 €/m2	+ 0,6 %	- 0,4 %	- 6,7 %
Diciembre 2013	1.808 €/m2	- 0,2 %	+ 0,3 %	- 8,9 %
Noviembre 2013	1.813 €/m2	- 0,7 %	- 2,3 %	- 10,8 %
Octubre 2013	1.826 €/m2	+ 1,3 %	- 2,3 %	- 10,9 %
Septiembre 2013	1.803 €/m2	- 2,9 %	- 2,3 %	- 12,9 %
Agosto 2013	1.856 €/m2	- 0,7 %	- 0,4 %	- 10,7 %
Julio 2013	1.869 €/m2	+ 1,3 %	+ 0,2 %	- 11,5 %
Junio 2013	1.845 €/m2	- 1,0 %	- 2,2 %	- 13,1 %
Mayo 2013	1.863 €/m2	- 0,1 %	- 2,3 %	- 13,0 %
Abril 2013	1.865 €/m2	- 1,2 %	- 4,4 %	- 14,3 %
Marzo 2013	1.886 €/m2	- 1,1 %	- 5,0 %	- 14,9 %
Febrero 2013	1.907 €/m2	- 2,2 %	- 6,2 %	- 14,4 %
Enero 2013	1.950 €/m2	- 1,8 %	- 4,8 %	- 12,7 %
Diciembre 2012	1.985 €/m2	- 2,4 %	- 4,1 %	- 12,4 %
Noviembre 2012	2.033 €/m2	- 0,8 %	- 2,2 %	- 12,2 %
Octubre 2012	2.049 €/m2	- 1,0 %	- 3,0 %	- 12,0 %
Septiembre 2012	2.069 €/m2	- 0,4 %	- 2,5 %	- 11,2 %
Agosto 2012	2.078 €/m2	- 1,6 %	- 3,0 %	- 11,7 %
Julio 2012	2.113 €/m2	- 0,4 %	- 2,9 %	- 11,3 %
Junio 2012	2.122 €/m2	- 0,9 %	- 4,3 %	- 12,6 %
Mayo 2012	2.142 €/m2	- 1,5 %	- 3,8 %	- 12,7 %
Abril 2012	2.175 €/m2	- 1,8 %	- 2,6 %	- 12,5 %
Marzo 2012	2.216 €/m2	- 0,5 %	- 2,2 %	- 10,5 %
Febrero 2012	2.227 €/m2	- 0,3 %	- 3,8 %	- 8,4 %
Enero 2012	2.234 €/m2	- 1,4 %	- 4,1 %	- 7,2 %
