"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"39043 Meruelo"	2174	2086	2028	1982	1985	1965	1922	1912	1878	1798	1742	1709	1652	1564	1467	1416	1372	1321	1232	1173	1125
"39044 Miengo"	5059	4891	4741	4713	4676	4741	4675	4626	4654	4677	4648	4540	4495	4296	4135	3986	3867	3860	3815	3762	3682
"39045 Miera"	386	381	380	389	393	395	410	417	420	424	439	442	462	455	453	468	475	479	486	496	516
"39046 Molledo"	1494	1507	1504	1544	1585	1589	1595	1612	1613	1610	1634	1655	1679	1730	1742	1770	1836	1858	1856	1884	1914
"39047 Noja"	2650	2588	2556	2539	2553	2562	2587	2551	2580	2653	2645	2613	2635	2555	2425	2292	2337	2218	2182	2135	2073
"39048 Penagos"	2168	2142	2142	2108	2083	2060	2017	1997	2020	1929	1878	1833	1803	1766	1719	1679	1698	1707	1710	1750	1702
"39049 Peñarrubia"	318	319	319	321	332	349	351	357	353	367	373	366	367	365	372	380	374	375	356	324	297
"39050 Pesaguero"	294	295	292	285	298	311	312	326	324	340	348	345	349	344	346	360	371	384	373	394	394
"39051 Pesquera"	82	79	78	68	68	71	73	74	71	71	89	72	64	69	75	79	79	82	78	86	94
"39052 Piélagos"	26035	25731	25559	25223	24918	24574	24360	23999	23661	23211	22223	21268	20081	18934	17681	16578	15748	14849	14224	13389	12517
"39053 Polaciones"	215	221	232	238	239	237	241	236	225	252	265	247	252	272	263	251	257	285	267	276	288
"39054 Polanco"	5978	5942	5896	5845	5850	5794	5705	5633	5585	5486	5283	5065	4764	4515	4224	3993	3910	3857	3769	3700	3622
"39055 Potes"	1322	1332	1343	1350	1342	1360	1413	1421	1452	1474	1481	1511	1533	1511	1500	1499	1584	1588	1597	1590	1580
"39056 Puente Viesgo"	2902	2845	2854	2868	2843	2877	2886	2851	2843	2861	2846	2807	2746	2685	2651	2522	2464	2506	2453	2344	2333
"39057 Ramales de la Victoria"	2902	2877	2876	2881	2895	2827	2820	2820	2805	2788	2784	2650	2575	2489	2367	2333	2312	2273	2242	2231	2242
"39058 Rasines"	971	955	931	952	966	959	990	988	1011	1023	1024	1058	1055	1063	1045	999	968	944	943	947	946
"39059 Reinosa"	8810	8946	9003	9095	9331	9496	9605	9804	9919	10071	10177	10277	10307	10208	10220	10370	10523	10577	10783	10638	10862
"39060 Reocín"	8382	8399	8384	8381	8312	8318	8382	8328	8350	8318	8287	8194	8196	8120	7959	7702	7434	7191	7157	7022	6938
"39061 Ribamontán al Mar"	4629	4478	4437	4447	4426	4422	4419	4462	4513	4496	4476	4450	4408	4310	4188	4115	4045	3939	3880	3826	3716
"39062 Ribamontán al Monte"	2382	2303	2276	2257	2223	2231	2267	2215	2197	2186	2141	2142	2117	2081	2065	2046	2032	2007	1997	2008	1976
"39063 Rionansa"	1042	1029	1047	1038	1045	1058	1051	1053	1078	1091	1112	1113	1131	1144	1190	1215	1262	1289	1317	1341	1393
"39064 Riotuerto"	1645	1611	1601	1609	1615	1610	1638	1594	1622	1634	1627	1617	1627	1612	1578	1536	1522	1511	1546	1524	1522
"39065 Rozas de Valdearroyo, Las"	257	247	260	268	264	275	282	281	284	288	295	271	283	300	307	292	301	319	306	317	317
"39066 Ruente"	1034	1011	1016	1026	1031	1044	1037	1034	1035	1041	1052	1048	1022	1003	1022	1001	1003	985	977	966	969
"39067 Ruesga"	826	836	839	872	870	870	903	932	973	981	1005	1041	1060	1113	1129	1109	1127	1136	1151	1188	1213
"39068 Ruiloba"	741	722	740	732	748	765	768	784	790	805	799	790	773	769	743	762	756	767	758	729	731
"39069 San Felices de Buelna"	2355	2367	2361	2387	2421	2381	2408	2394	2388	2355	2318	2312	2314	2309	2271	2239	2241	2233	2230	2209	2207
"39070 San Miguel de Aguayo"	148	145	140	147	154	160	164	174	175	174	166	159	157	153	149	142	144	151	155	152	151
"39071 San Pedro del Romeral"	474	474	507	466	452	453	461	477	488	503	528	522	547	548	565	561	573	588	596	618	626
"39072 San Roque de Riomiera"	337	345	356	370	380	386	394	393	398	412	437	438	446	453	456	461	454	461	466	482	499
"39080 San Vicente de la Barquera"	4073	4095	4124	4158	4173	4196	4247	4314	4344	4407	4475	4508	4546	4532	4557	4491	4461	4464	4453	4412	4440
"39073 Santa Cruz de Bezana"	13292	13088	13095	12964	12818	12679	12560	12500	12369	12154	11776	11607	11279	10831	10463	10314	10012	9799	9562	8828	8269
"39074 Santa María de Cayón"	9205	9167	9159	9060	9095	9078	9090	9097	9060	9123	9005	8814	8526	8148	7556	7377	7107	6614	6505	6465	6434
"39075 Santander"	172221	173375	172539	172044	171951	172656	173957	175736	177123	178465	179921	181589	182700	182302	181802	182926	183955	183799	184778	184661	185231
"39076 Santillana del Mar"	4231	4229	4207	4172	4154	4184	4203	4197	4215	4210	4029	4040	4021	4049	4007	3983	4022	4006	3956	3950	3926
"39077 Santiurde de Reinosa"	244	255	255	257	254	265	279	285	293	299	298	293	301	317	317	325	342	355	344	327	319
"39078 Santiurde de Toranzo"	1695	1646	1629	1623	1610	1602	1619	1581	1590	1604	1581	1552	1512	1485	1351	1359	1366	1406	1461	1546	1615
"39079 Santoña"	11011	11019	11024	11050	11004	11085	11088	11222	11382	11451	11465	11584	11569	11601	11574	11534	11592	11521	11646	11593	11567
"39081 Saro"	519	516	504	512	515	512	511	504	515	510	504	507	520	518	513	510	512	522	525	532	525
"39082 Selaya"	1854	1873	1891	1891	1915	1931	1922	1990	1997	2009	2035	2026	2044	2003	1985	1981	1982	1983	1974	1998	1995
"39083 Soba"	1153	1155	1180	1193	1207	1249	1260	1280	1305	1319	1335	1367	1385	1427	1442	1462	1494	1530	1529	1614	1637
"39084 Solórzano"	1048	1046	1047	1050	1040	1012	1010	1002	1030	1025	1056	1055	1053	1063	1067	1052	1053	1056	1028	1000	987
"39085 Suances"	9026	8827	8782	8716	8645	8579	8612	8580	8552	8451	8489	8365	8229	7998	7707	7393	7117	6906	6838	6649	6529
"39086 Tojos, Los"	397	387	387	400	402	399	404	422	430	428	434	449	442	434	441	412	409	415	424	419	403
"39087 Torrelavega"	51237	51597	51494	51687	52034	52819	53496	54196	54827	55297	55553	55888	55947	55910	55418	56143	56230	56407	56638	56180	55909
"39088 Tresviso"	59	59	62	64	70	71	71	69	70	74	74	78	80	82	85	76	69	63	62	55	59
"39089 Tudanca"	148	135	141	140	145	147	154	148	151	163	174	185	196	202	215	201	215	212	225	245	258
"39090 Udías"	930	928	934	925	903	903	895	885	873	852	871	869	855	853	840	843	829	828	825	823	834
"39095 Val de San Vicente"	2786	2758	2728	2772	2804	2763	2797	2823	2825	2844	2846	2814	2784	2758	2722	2670	2650	2601	2615	2610	2595
"39091 Valdáliga"	2157	2150	2182	2191	2218	2272	2309	2299	2313	2317	2326	2314	2306	2351	2364	2414	2430	2410	2451	2503	2525
"39092 Valdeolea"	922	939	947	967	994	987	1020	1055	1098	1133	1145	1176	1216	1240	1265	1301	1293	1347	1372	1433	1470
"39093 Valdeprado del Río"	316	325	337	316	323	331	331	321	327	357	380	306	310	315	324	291	315	335	334	334	323
"39094 Valderredible"	961	950	989	974	987	1001	1001	1010	1008	1086	1107	1098	1099	1131	1137	1127	1148	1213	1160	1126	1194
"39101 Valle de Villaverde"	276	274	283	286	306	327	336	327	340	355	369	375	375	390	383	373	388	380	368	366	363
"39096 Vega de Liébana"	718	719	736	745	765	788	793	805	821	842	851	846	871	892	910	936	944	949	946	985	998
"39097 Vega de Pas"	748	746	763	775	784	795	814	801	808	824	849	860	881	906	916	909	955	959	969	1003	1013
"39098 Villacarriedo"	1625	1612	1612	1604	1626	1636	1669	1701	1716	1752	1749	1753	1765	1775	1764	1736	1699	1724	1736	1756	1750
"39099 Villaescusa"	3958	3933	3899	3912	3883	3883	3826	3808	3802	3755	3687	3601	3581	3543	3468	3481	3437	3395	3347	3303	3243
"39100 Villafufre"	1012	994	1003	1029	1014	1017	1032	1062	1083	1103	1124	1140	1109	1091	1091	1078	1115	1120	1132	1149	1155
"39102 Voto"	2789	2686	2724	2745	2716	2725	2729	2751	2795	2798	2793	2712	2664	2503	2386	2367	2290	2279	2268	2241	2221
