"Pob_Cap"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"41091 Sevilla"	684234	691395	688592	688711	689434	690566	693878	696676	700169	702355	703021	704198	703206	699759	699145	704414	704154	704203	709975	704114	702520
"42173 Soria"	39695	39821	39398	39112	38881	39171	39168	39516	39753	40147	39987	39838	39528	39078	38205	38004	37200	35769	35178	35112	34640
"43148 Tarragona"	135436	136496	134515	132299	131507	131094	131255	132199	133545	133954	134085	140184	140323	137536	134163	131158	128152	123584	121076	117184	115153
"44216 Teruel"	35994	36240	35890	35691	35484	35564	35590	35675	35961	35841	35288	35241	35396	35037	34236	33673	33238	32580	32304	31506	30789
"45168 Toledo"	85449	85811	84873	84282	83741	83459	83226	83334	83593	84019	83108	82489	82291	80810	78618	77601	75533	73485	72549	70893	69450
"46250 València"	789744	800215	794288	791413	787808	790201	786189	786424	792303	797028	798033	809267	814208	807200	797654	805304	796549	785732	780653	761871	746612
"47186 Valladolid"	297775	299265	298412	298866	299715	301876	303905	306830	309714	311501	313437	315522	317864	318461	316564	319943	321001	321713	321143	318576	318293
"01059 Vitoria-Gasteiz"	253093	253996	251774	249176	246976	244634	243918	242082	241386	242223	239562	238247	235661	232477	229484	227568	226490	223702	223257	221270	218902
"49275 Zamora"	60297	60988	61406	61827	62389	63217	63831	64423	64986	65362	65525	65998	66293	66672	66138	66135	66123	65646	65639	65575	65633
"50297 Zaragoza"	675301	681877	674997	666880	664938	661108	664953	666058	682004	679624	674725	675121	674317	666129	654390	649181	647373	638799	626081	620419	610976
