"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"07040 Palma"	419366	422587	416065	409661	406492	402949	400578	399093	398162	407648	405318	404681	401270	396570	383107	375048	375773	368974	367277	358462	346720
"07041 Petra"	3028	2942	2860	2825	2794	2774	2816	2812	2806	2908	2919	2928	2886	2856	2787	2744	2707	2643	2697	2662	2634
"07044 Pobla, Sa"	13873	13764	13475	13026	12793	12714	12694	12709	12901	12871	12881	12831	12766	12455	12141	12122	11767	11442	11446	11103	10736
"07042 Pollença"	16969	16658	16283	16189	16157	16222	16115	16088	16200	16191	16114	16981	17260	16997	16570	16398	15987	15513	15566	15074	14647
"07043 Porreres"	5624	5576	5502	5339	5256	5197	5267	5369	5496	5486	5544	5531	5428	5272	5052	4848	4597	4519	4568	4450	4363
"07045 Puigpunyent"	2057	2044	2012	1967	1997	2021	2018	2016	2010	1886	1970	1938	1867	1763	1702	1631	1513	1446	1477	1399	1314
"07059 Salines, Ses"	5010	5096	4960	4877	4860	4895	5018	5050	5273	5227	5272	5234	5270	5049	4755	4502	4290	4151	4116	3930	3478
"07046 Sant Antoni de Portmany"	27205	27033	26306	25779	25290	24478	23631	23359	23314	22446	22299	22136	21852	21082	19889	19673	18366	17407	17261	16742	16209
"07049 Sant Joan"	2185	2145	2108	2083	2064	2042	2035	2030	1973	2047	1985	1958	1962	1956	1866	1853	1847	1821	1803	1737	1691
"07050 Sant Joan de Labritja"	6635	6576	6397	6200	6139	6070	5872	5668	5677	5506	5351	5477	5541	5468	5198	4975	4838	4611	4673	4620	4401
"07048 Sant Josep de sa Talaia"	28299	27732	27413	26496	26133	25849	25674	25362	24498	24691	23688	22871	22171	21304	20136	19224	18382	17385	17076	16083	15190
"07051 Sant Llorenç des Cardassar"	8920	8742	8431	8405	8328	8138	8146	8320	7857	8993	8963	8841	8687	8467	8095	7738	7498	7280	7246	6951	6692
"07052 Sant Lluís"	6877	6735	6798	6892	6954	7313	7521	7472	7509	7449	7377	7204	6997	6704	6414	6182	5865	5407	5216	4918	4626
"07053 Santa Eugènia"	1724	1641	1561	1671	1653	1636	1638	1652	1723	1702	1640	1595	1663	1562	1489	1439	1420	1384	1358	1328	1265
"07054 Santa Eulària des Riu"	40038	39358	38015	36457	36605	36119	35812	36189	36464	34946	33734	32637	31314	30364	28361	27152	26724	25826	25918	25080	23755
"07055 Santa Margalida"	12767	12797	12485	11958	11801	11632	11672	11680	12243	11922	11718	11626	11537	11207	10608	10204	9719	9266	9074	8776	8306
"07056 Santa María del Camí"	7507	7486	7375	7167	7062	6832	6685	6591	6500	6473	6270	6176	5992	5672	5497	5323	5175	5103	5074	4998	4937
"07057 Santanyí"	12342	12373	12237	12112	11348	11220	11316	11636	11784	13384	13095	12823	12664	12303	11720	11172	10673	10337	10253	10020	9405
"07058 Selva"	4126	4080	4014	3981	3869	3864	3890	3858	3869	3798	3697	3620	3515	3370	3313	3203	3205	3112	3096	3055	2975
"07047 Sencelles"	3542	3370	3290	3195	3154	3096	3082	3073	3234	3187	3128	3155	3105	3006	2903	2743	2656	2559	2464	2341	2214
"07060 Sineu"	4122	4030	3862	3764	3641	3629	3612	3681	3715	3763	3687	3619	3520	3398	3248	3133	3053	2927	2868	2843	2789
"07061 Sóller"	13491	13634	13705	14041	13936	13791	13648	13842	14229	14150	14148	14075	13942	13625	13194	12847	12521	12140	12472	12118	11705
"07062 Son Servera"	11835	11817	11568	11378	11265	11119	11449	11576	11146	12165	12195	12286	12215	11713	11392	10951	10766	10519	10750	10643	10179
"07063 Valldemossa"	2042	2009	1969	1945	1950	2003	2005	2025	2042	2027	2007	2037	1995	1977	1976	1930	1910	1822	1820	1830	1770
"07065 Vilafranca de Bonany"	3558	3466	3380	3176	3047	2941	2913	2910	2922	2971	2958	2989	2908	2782	2625	2573	2521	2563	2550	2518	2431
